business_name,pos_system,status_notes,annual_projection,contact,phone,phone_2,address,city,state,email,priority
Precita Park Café,SUPPLY ONLY,call schedule 1 per month,,Jose,415-647-7702,,500 Precita Avenue,San Francisco,Ca,dan@doloresparkcafe.com,1.0
Pub Republic,SUPPLY ONLY,Ask for Gary Wed & Thur eve Fri Sat Sun Days,,Jory Bergman,707-782-9090,,3120 Lakeville Highway,Petaluma,Ca,info@pubrepublicusa.com,1.0
Puerto Vallarta Market,SUPPLY ONLY,Weekly call back set,,Jorge,707-942-4400,,1009 Foothill Blvd,Calistoga,Ca,,1.0
Purity Market,SUPPLY ONLY,order every 2 months,,Randy,707-964-0747,,242 N. Franklin Street,Fort Bragg,Ca,,1.0
Ramp Restaurant,SUPPLY ONLY,Called and sent email,,Josephine- GM,415-621-2876,,835 Terry A Francois Blvd,San Francisco,Ca,theramp@comcast.net,1.0
Over the Top Yogurt Shop,SUPPLY ONLY,AH,,Ted Ginn,707-554-8400,707-260-5801,0.0775,0.08,NAPA,5075 Main Street #122,1.0
Palio Caffe - Parnassus,SUPPLY ONLY,AH,,Bettie Scodel,415-681-9925,,0.085,0.0875,SF,500 Parnassus,1.0
Palisades Deli Café,SUPPLY ONLY,AH,,Martha,707-942-0145,,0.0775,0.08,NAPA,1458 Lincoln Ave #1,1.0
Pamposh,SUPPLY ONLY,AH,HARBOR TOUCH,Mona,707-538-3367,707-849-8685,0.0925,0.0875,S.Rosa,52 Mission Circle #110,1.0
Pancho Villa Taqueria - San Mateo,SUPPLY ONLY,AH,,Gary,650-447-1703,,0.09,0.0925,San Mat,365 S B Street,1.0
Parada 22,SUPPLY ONLY,AH,,Peter,415-750-1111,,0.085,,SF,1805 Haight Street,1.0
Paradise Sushi & Grill - Petaluma,SUPPLY ONLY,AH,,Gustavo Martinez,707-781-9695,775-830-1533,0.095,,SON,20 East Washington Street,1.0
Paradise Sushi & Grill - RP,SUPPLY ONLY,AH,,Gustavo Martinez,707-588-8068,775-830-1533,0.09,,Rohnert,370 Rohnert Park Expressway,1.0
Ox & Fox,SUPPLY ONLY,Eddie New Bar using Revel,,Eddie,707-738-7186,,,Napa,Ca,,1.0
Pacifico Restaurente Mexicano,SUPPLY ONLY,orders monthly,,Jorge,707-942-4400,,1237 Lincoln Ave,Calistoga,Ca,pacificorestaurante1237@gmail.com,1.0
Pancho Villa Taqueria - SF,SUPPLY ONLY,monthly check in,,Gary,415-864-8840,650-533-3074,3071 16th Street,San Francisco,Ca,garyespinoza@gmail.com,1.0
Peacock Gap Golf Club  ++5000++,SUPPLY ONLY,,,Ross,415-453-4940x211,,337 Biscayne Drive,San Rafael,Ca,accountspayable@150pelican.com,1.0
Perle Wine Bar,SUPPLY ONLY,No call needed,,Dino,510-808-7767,,2058 Mountain Blvd,Oakland,Ca,info@townsquareeats.com,1.0
Phyllis' Giant Burger - Sonoma Hwy,SUPPLY ONLY,Last order 1/2021,,Scott Kim,707-538-4000,415-317-2652,4910 Sonoma Highway,Santa Rosa,Ca,,1.0
Piatti,SUPPLY ONLY,,,Scott,415-380-2525,,625 Redwood Hwy,Mill Valley,Ca,scarr@piatti.com,1.0
Piggie's Charbroiled Burgers,SUPPLY ONLY,AH,,Jose,310-679-6326,,0.1025,0.09,Hawth,4601 Rosecrans Avenue,1.0
Mesquite Mexican Cuisine,SUPPLY ONLY,Last order 3/2021,,Claudia Vazquez,916-984-8607,916-826-3555 cell,25095 Blue Ravine Road,Folsom,Ca,claudiamesquite@gmail.com,1.0
Mi Casa Café,SUPPLY ONLY,6/8/2021 last order,,Alvaro,415-482-6581,,85 Woodland Avenue,San Rafael,Ca,,1.0
Monica's Livermore,SUPPLY ONLY,,,Monica,925-550-0590,,2074 Second Street,Livermore,Ca,monica@monicaslivermore.com,1.0
Monti's Rotisserie & Bar,SUPPLY ONLY,Rebecca or Brian/Ryan,,Miguel,707-568-4404,,714 Village Court,Santa Rosa,Ca,,1.0
Mountain Mike's - Newark,SUPPLY ONLY,Placed order,,Gurdeep,510-494-8177,510-209-9637,5333 Thornton Avenue,Newark,Ca,bhandalgurdeep@yahoo.com,1.0
Mountain Mike's - Santa Clara,SUPPLY ONLY,Placed order,,Gurdeep,408-246-3900,510-209-9637,1290 Franklin Mall,Santa Clara,Ca,bhandalgurdeep@yahoo.com,1.0
Nordic House,SUPPLY ONLY,,,Pia,510-705-1932,,2709 San Pablo Avenue,Berkeley,Ca,,1.0
Old Chicago Pizza,SUPPLY ONLY,orders every 2 months,,Jenny,707-763-3897,,41 Petaluma Blvd,Petaluma,Ca,ocp@sonic.net,1.0
Oakland Kosher,SUPPLY ONLY,,,Yuval,510-839-0177,925-698-9803 Jerry,3419 Lakeshore Ave,Oakland,Ca,,1.0
Old Chicago Pizza Delivery (Do Not Use),SUPPLY ONLY,AH,,Audrey,707-763-3897,,0.095,0.0825,SON,203 N. McDowell Blvd,1.0
San Rafael Joe's,SUPPLY ONLY,Call Cynthia Monthly,,Cynthia,415-456-2425,,931 4th Street,San Rafael,Ca,,1.0
Sausalito Yacht Club,SUPPLY ONLY,,,Ernest Morgan,415-332-7400,,100 Humboldt Avenue,Sausalito,Ca,office@sausalitoyachtclub.org,1.0
Scoma's - Sausalito,SUPPLY ONLY,last order 7/15,,Roland,415-332-9551,,588 Bridgeway,Sausalito,Ca,,1.0
Skip's Music,SUPPLY ONLY,,,Steve,916-484-7575,,2740 Auburn Blvd,Sacramento,Ca,info@skipsmusic.com,1.0
Smiley's Saloon,SUPPLY ONLY,Last order 5/2021,,Nicole & Jess,415-868-1311,,41 Wharf Rd,Bolinas,Ca,,1.0
State Bird Provisions,SUPPLY ONLY,,,Denise,415-795-1272,510-928-2278,1529 Fillmore Street,San Francisco,Ca,service@theprogress-sf.com,1.0
San Juan Oaks Golf Club Restaurant,SUPPLY ONLY,Spoke to Darian 3month call back set from last order,,Brandie Brewster,831-636-6118,,3825 Union Road,Hollister,Ca,mfreitas@sanjuanoaks.com ,1.0
Murray Circle Restaurant,SUPPLY ONLY,RF,,Lissette,415-339-4700,,0.0875,0.09,Saus,601 Murray Circle,1.0
Mustards Grill,SUPPLY ONLY,AH,,James,707-944-2424,,0.0775,,NAPA,7399 St. Helena Highway,1.0
Napa Valley Burger Company,SUPPLY ONLY,DK,,Tom,415-332-1454,415-305-7795,0.0875,0.09,Saus,670 Bridgeway ,1.0
Napa Valley Wine Train,SUPPLY ONLY,DK,,Martin,707-251-5207,,0.0775,0.08,NAPA,1275 McKinstry St,1.0
Napoli Pizza,SUPPLY ONLY,DK,ALDELO,Donato Lamorte,415-459-3315,415-599-5119,0.0925,0.0925,San Raf,869 4th Street,1.0
Nomikai Sake Bar,SUPPLY ONLY,AH,HARBOR TOUCH,Kathy,408-828-5001,408-828-5001,0.0925,0.09,SanJose,48 South First Street,1.0
Nook,SUPPLY ONLY,RF,,Nicola,415-447-4100,415-640-8327,0.085,0.0875,SF,1500 Hyde Street,1.0
Roka Akor,SUPPLY ONLY,Last order 7/2021,,Tony/Erin,415-362-8887,,801 Montgomery Street,San Francisco,Ca,eforsyth@rokaakor.com,1.0
Rookies Sports Bar & Grill,SUPPLY ONLY,Chaylin  - Luna is doing all orders,,Alex Arenson Storlee,707-746-7665,,321 1st Street,Benicia,Ca,rob@towinginsurance.com,1.0
Rose's Café,SUPPLY ONLY,call next week to get order and then monthly,,Jesse Guererro,415-775-2200,,2298 Union Street,San Francisco,Ca,,1.0
Royal Indian Cuisine,SUPPLY ONLY,Last order 3/2021,,Sukhi,916-745-4939,,8055 Greenback Lane,Citrus Heights,Ca,,1.0
Ruth's Chris Steakhouse,SUPPLY ONLY,,,Bruce,502-479-0026,,6100 Dutchman's Lane,Louisville,Ky,,1.0
Sac’s Tasty Dogs,SUPPLY ONLY,New Owner,,Nicole,707-258-8905,,,,Ca,,1.0
Sam's Hof Brau,SUPPLY ONLY,,,Cecil,916-482-2175,,2500 Watt Ave,Sacramento,Ca,mickeyschle@gmail.com,1.0
San Bruno Supermarket,SUPPLY ONLY,,,Joe Lien,415-468-5788,415-407-2397,2480 San Bruno Ave,San Francisco,Ca,lien.joe@gmail.com,1.0
Rancho Nicasio,SUPPLY ONLY,Max will call in his orders flup set by end of year,,Max Brown,415-662-2219,415-264-6859,#1 Old Rancheria Road,Nicasio,Ca,ranchoinfo@ranchonicasio.com,1.0
Revel & Roost Kitchen,SUPPLY ONLY,monthly check in,,Mark,415-870-9946,415-599-6383 cell,901 B Street,San Rafael,Ca,markedwardsbiz@gmail.com,1.0
Ricky’s Restaurant,SUPPLY ONLY,Closed for renovations,,Wayne DanAkin,415-883-9477,,250 Entrada Drive,Novato,Ca,94949,1.0
Riley's Bar,SUPPLY ONLY,monthly flup set on account,,Travis,530-343-7459,530-624-5350 cell,702 W. 5th Street,Chico,Ca,,1.0
Roadside BBQ - RP,SUPPLY ONLY,,,Francisco,707-206-9131,,630 Park Court (Graton Casino MktPlace),Rohnert Park,Ca,roadsidebbq@yahoo.com,1.0
Roadside BBQ - SR,SUPPLY ONLY,,,Martin,415-479-7200,415-261-2334,5000 Northgate Mall #135,San Rafael,Ca,roadsidebbq@yahoo.com,1.0
Robata Grill,SUPPLY ONLY,last order 8/6,,Boi,415-381-8400,415-987-0815,591 Redwood Hwy,Mill Valley,Ca,,1.0
Rocca Ristorante,SUPPLY ONLY,,,Orhan Kurt,650-344-3900,,1205 Broadway,Burlingame,Ca,,1.0
The Golf Club Copper Valley,SUPPLY ONLY,Last order 6/1/2021,,Kaponi,209-785-7420,The Gold Club Copper Valley,1001 Saddle Creek Drive,Copperoppolis,Ca,,1.0
The Morris,SUPPLY ONLY,Order every 6 months cb set for 3 months,,Oona,415-612-8480,,2501 Mariposa Street,San Francisco,Ca,info@themorris-sf.com,1.0
The Sea by Alexander's Steakhouse,SUPPLY ONLY,Last order in 7/5/2021,,William,650-213-1111,,4269 El Camino Real,Palo Alto,Ca,,1.0
The Trident,SUPPLY ONLY,monthly check in,,Jimmy,415-331-3232,,558 Bridgeway,Sausalito,Ca,keithshaw@pacbell.net,1.0
Tomatina - Roseville ++,SUPPLY ONLY,,,Mara,279-399-2205,,10505 Fairway Dr,Roseville,Ca,accountspayable@150pelican.com,1.0
Tomatina - San Mateo  ++4150++,SUPPLY ONLY,,,Randol Conner,650-918-5030,,"401 South "" B"" Street",San Mateo,Ca,accountspayable@150pelican.com,1.0
Tomatina - Santa Rosa  ++4160++,SUPPLY ONLY,,,James,707-583-0035,,2323 Sonoma Avenue,Santa Rosa,Ca,accountspayable@150pelican.com,1.0
Tomatina - Walnut Creek  ++4125++,SUPPLY ONLY,orders every 2 months,,Dan,925-930-9999,,1325 N. Main Street,Walnut Creek,Ca,accountspayable@150pelican.com,1.0
Motel Six - Wells,SUPPLY ONLY,RF,,Manager,775-752-2116,,0,0,O/S,1561 Sixth Street,1.0
Mountain Home Inn,SUPPLY ONLY,AH,,Spencer,415-381-9000,,0.0825,,Marin,810 Panoramic Hwy,1.0
Mountain Mike's - Vallejo,SUPPLY ONLY,AH,,Bobby,707-980-6696,,0.0838,,SOL,4380 Sonoma Blvd,1.0
Mourad Restaurant,SUPPLY ONLY,DK,,Pat ,415-660-2500,,0.085,,SF,140 New Montgomery Street #1,1.0
Moxy Beer Garden,SUPPLY ONLY,AH,,Mike V,510-547-6699,,0.0925,0.095,ALA,3136 Sacramento Street,1.0
Mr. Holmes Bakehouse,SUPPLY ONLY,AH,,Chris Reinhardt,415-829-7700,,0.085,0.0875,SF,1042 Larkin Street,1.0
Mr. Smith's,SUPPLY ONLY,RF,,Kevin (kimo),415-355-9991,,0.085,0.0875,SF,34 7th Street,1.0
Thai Bloom - Portland,SUPPLY ONLY,Last order 6/20,,Walter Bowers,503-243-7557,503-297-2312,333 NW 23rd Avenue,Portland,OR,walter@thaibloom.com,1.0
Teriyaki Madness- Chandler,SUPPLY ONLY,Using Sysco,,Isaac,480-306-7807,480-584-5353,4225 S Gilbert Rd,Chandler,Az,,1.0
Teriyaki Madness- Gilbert,SUPPLY ONLY,CALLED AND SETUP CALL BACK,,Keith,480-306-7807,,3131 S. Market Street # 108,Gilbert,AZ,tmad060@teriyakimadness.com,1.0
Teriyaki Madness- Macomb,SUPPLY ONLY,CALLED AND SETUP CALL BACK,,Barney,586-566-6288,586-876-3536,15619 Hall Road,Macomb Township,MI,,1.0
Thai Bloom - Beaverton,SUPPLY ONLY,Last order 6/20,,Walter Bowers,503-644-8010,503-297-2312,"3800 SW Cedar Hills Blvd,Unit 200-A",Beaverton,OR,walter@thaibloom.com,1.0
Michael Voltaggio's Ink,SUPPLY ONLY,RF,,Hanae,323-651-5866,,0.095,0.09,LA,"8360 Melrose Avenue, #101",1.0
Mill Valley Beerworks,SUPPLY ONLY,RF,,Justin,415-888-8218,415-336-3596,0.0825,0.09,MARIN,173 Throckmorton Avenue,1.0
Millenium Restaurant,SUPPLY ONLY,AH,,Alison Bagby,510-735-9459,310-740-7070,0.0925,0.095,ALA,5912 College Avenue,1.0
Monte Carlo Club & Restaurant,SUPPLY ONLY,AH,,Yas,650-988-1500,,0.09,0.0875,SC,228 Castro Street,1.0
Station House Café,SUPPLY ONLY,Mia Mgr,,Aaron,415-663-1515,,1180 State Route One,Point Reyes Station,Ca,sheryl@stationhousecafe.com,1.0
Steins Beer Garden - Mountain View,SUPPLY ONLY,sent order out,,Ted Kim,650-963-9568,,895 Villa Street,Mountain View,Ca,ted@steinsbeergarden.com,1.0
Sweeney's Grill & Bar,SUPPLY ONLY,order every 2 months,,Peter,925-634-5192,,301 Oak Street,Brentwood,Ca,,1.0
Tartine Bakery - 9th Ave,SUPPLY ONLY,,,Scott,415-742-5005,,1226 9th Avenue,San Francisco,Ca,leslie.charles@tartinebakery.com,1.0
Teriyaki Madness - Fairfield,SUPPLY ONLY,Call schedule every 3 month,,Jaz,707-673-2250,707-292-8919 cell,"4222, 251 Pittman Road B",Fairfield,Ca,tmad050@teriyakimadness.com,1.0
Teriyaki Madness - Great Falls,SUPPLY ONLY,call schedule 2 month,,Aaron Weissman,406-315-3388,406-868-8982,1710 10th Ave S.,Great Falls,MT,tmad060@teriyakimadness.com,1.0
Teriyaki Madness - Marina,SUPPLY ONLY,Check back in 1 week,,John Marsh ,831-324-4932,,"110 General Stilwell Building B, #102",Marina  ,Ca,tmad031@teriyakimadness.com,1.0
Teriyaki Madness – Greenwood,SUPPLY ONLY,,,Ting,720-383-8875,,,,,,1.0
Los Palillos,SUPPLY ONLY,SG,,GIna,415-456-0708,510-755-0748,0.0925,0.0925,San Raf,3060 Kerner Blvd,1.0
Los Rancheros,SUPPLY ONLY,LG,,Manager,925-685-7101,,0.0975,0.09,Concord,1099 A Reganti Drive,1.0
Low Cost Liquor,SUPPLY ONLY,AH,,Adel,510-364-7651,,0.0925,0.095,ALA,2301 San Pablo Avenue,1.0
Lucky Seafood Market,SUPPLY ONLY,AH,,Kelly,510-436-6088,,0.0925,0.095,ALA,1201 East 12th Street,1.0
Lumpy's Diner Express,SUPPLY ONLY,AH,,Jeremy,925-420-5373,,0.0875,0.09,CC,7160 Brentwood Blvd Ste E,1.0
Lungomare,SUPPLY ONLY,AH,,Saeed,510-444-1717,510-379-2657,0.0925,0.095,ALA,1 Broadway,1.0
Wild Fire Public House,SUPPLY ONLY,Last order 1/2021 8/3/2021,,Manita,209-521-8667,209-484-1442,1533 Oakdale Road #A,Modesto,Ca,manitasom@gmail.com,1.0
Z Café & Bar,SUPPLY ONLY,,,Mehdi,510-451-2905,,2735 Broadway,Oakland,Ca,,1.0
Marly & Moo,SUPPLY ONLY,AH,,Adam,916-294-7691,,0.0775,0.08,Folsom,608 Sutter Street,1.0
McNamara's Steak & Chophouse,SUPPLY ONLY,AH,,Patty,925-833-0995,,0.0925,0.095,ALA,7400 San Ramon Road,1.0
Mendocino Hotel *no longer using MD*,SUPPLY ONLY,JS,Sharp X650,Jaime,707-937-0511 x151,707-489-5636,0.07875,0.0762,MENDO,45080 Main Street,1.0
Les Marchands,SUPPLY ONLY,RF,,Anda,805-284-0380,,0.0875,,S.Barb,"131 Anacapa Street, Suite B",1.0
Little Star Pizza - Albany,SUPPLY ONLY,RF,,Michael,510-526-7827,818-324-4403,0.0975,0.09,Albany,1181 Solano Avenue,1.0
Little Star Pizza - SF,SUPPLY ONLY,RF,,Karl,415-458-7827,,0.085,0.0875,SF,400 Valencia Street,1.0
Lone Tree Golf Course,SUPPLY ONLY,AH,,Beth,925-706-4232,925-706-4230,0.0975,0.09,Antioch,4800 Golf Course Rd,1.0
Lori's Diner - Sears Fine Foods,SUPPLY ONLY,AH,,Erica,415-986-1160,,0.085,0.0875,SF,439 Powell Street,1.0
Village Market & Pizza,SUPPLY ONLY,sent order,,Allam,415-405-2292,415-377-4525,"750 Font Blvd, Building A",San Francisco,Ca,sfsucafe@sbcglobal.net,1.0
WaterBar,SUPPLY ONLY,Call Ricardo in 1 week,,Keith,415-284-9922,,"Pier 26, Box 7",San Francisco,Ca,,1.0
WesBurger N' More,SUPPLY ONLY,Called well last order in March,,Wes Rowe,415-745-9371,,2240 Mission Street,San Francisco,Ca,,1.0
Mac's (California Marble & Granite),SUPPLY ONLY,AH,,Feather,707-712-0193,,0.08375,,SOL,22 California Street,1.0
Magnolia Brewing- Dogpatch,SUPPLY ONLY,RF,,Lindsey,415-864-7468,,0.085,,SF,2505 3rd Street,1.0
Magnolia Brewing- Haight,SUPPLY ONLY,RF,,Lindsey,415-864-7468,,0.085,,SF,1398 Haight Street,1.0
Marconi Conference Center,SUPPLY ONLY,RF,,Hal,415-663-9020,,0.0825,,MARIN,18500 State Hwy 1,1.0
Marin Pasta,SUPPLY ONLY,RF,,John,877-263-2332,,0.0925,,San Raf,"1945 E. Francisco Blvd, #36",1.0
Tomatina - West Valley  ++4145++,SUPPLY ONLY,order every 3 months,,Samantha,408-380-0040,408-796-2527,5245 Prospect Road,San Jose,Ca,accountspayable@150pelican.com,1.0
Tomatina – Chain,SUPPLY ONLY,,,Jen Yang,510-521-1000,,1338 Park Street,Alameda,Ca,accountspayable@150pelican.com,1.0
Tommy's Joynt,SUPPLY ONLY,no contact made,,Eddie,415-775-4216,,1101 Geary Boulevard,San Francisco,Ca,mkaplan@barrelhousetavern.com,1.0
Uchiwa Ramen,SUPPLY ONLY,,,Benson Yang,415-524-2727,415-847-0133,821 B Street,San Rafael,Ca,info@uchiwaramen.com,1.0
Uncle Yu's at the Vineyard,SUPPLY ONLY,closed,,Lucas,415-449-7000,,39 South Livermore Avenue,Livermore,Ca,,1.0
Union St Produce Co,SUPPLY ONLY,Call @ 12 noon for Spiro,,Spiro,415-928-2611,,801 Union Street,San Francisco,Ca,smakras@msn.com,1.0
Villa Sport-  Beaverton  ++6020++,SUPPLY ONLY,called and left msg,,Tanner,971-317-2646,,13900 SW Meridian Street,Beaverton,OR,accountspayable@150pelican.com,1.0
Villa Sport-  San Jose ++++,SUPPLY ONLY,called and left msg,,Will,408-785-0320,,1167 N. Capitol Avenue,San Jose,Ca,,1.0
HQ Bar & Restaurant,SUPPLY ONLY,RF,ALOHA Radiant 1220,Colum Cowley,415-861-1586,,0.085,0.0875,SF,1568 Haight Street,1.0
IHOP- San Rafael,SUPPLY ONLY,RF,,Francisco,415-485-0870,,0.0925,,San Raf,1825 4th Street,1.0
Il Pollaio,SUPPLY ONLY,AH,SHARP  ER320,Maria  ,415-362-7727,,0.085,0.0875,SF,555 Columbus Ave,1.0
Café Flore,SUPPLY ONLY,,,Brett,415-621-8579,,2298 Market Street,San Francisco,Ca,94114,1.0
Café Talesai,SUPPLY ONLY,,,Sumitra,310-271-9345,,9198 W. Olympic Blvd,Beverly Hills,Ca,90212,1.0
Caffe Delucchi,SUPPLY ONLY,POS Itouch,,Matt,415-393-4515,650-243-4650,500 Columbus Avenue,San Francisco,Ca,94109,1.0
Caffe Pucinni,SUPPLY ONLY,,,Gragiono,415-989-7033,,411 Columbus Avenue,San Francisco,Ca,94133,1.0
Chubby's Diner,SUPPLY ONLY,Sam4s,,Sam,707-578-2003,707-528-8565,2032 Santa Rosa Avenue,Santa Rosa,Ca,95407,1.0
HBG - Healdsburg Bar & Grill,SUPPLY ONLY,AH,,David,707-433-3333,,0.09,,Hburg,245 Healdsburg Avenue,1.0
Heath Ceramics,SUPPLY ONLY,RF,,Manager,415-332-3732,,0.0875,0.09,Saus,400 Gates 5 Rd.,1.0
Hemp Hop Station,SUPPLY ONLY,AH,,Gabby,707-641-1444,,0.08375,,SOL,3201 Sonoma Blvd,1.0
Hi Tops,SUPPLY ONLY,RF,,Aaron,415-551-2500,,0.085,0.0875,SF,2247 Market Street,1.0
Hi Way Burger & Fry,SUPPLY ONLY,,,Randy,510-487-8373,,3853 24th Street,San Francisco,Ca,roadsidebbq@yahoo.com,1.0
Hillside Supper Club,SUPPLY ONLY,RF,,Tony,415-285-6005,,0.085,0.0875,SF,300 Precita Ave,1.0
Homestead Oakland,SUPPLY ONLY,,,Abby,510-420-6962,,4029 Piedmont Avenue,Oakland,Ca,,1.0
Hotel Nia,SUPPLY ONLY,AH,,Ronky Medina,650-900-3434,,0.0875,,SM,200 Independence Drive,1.0
Jackons Hardware,SUPPLY ONLY,RF,,Armand,415-454-3740,,0.0925,0.0925,San Raf,435 Du Bois Street,1.0
Jersey Pizza,SUPPLY ONLY,AH,,Colleen Booth,415-912-1502,,0.085,0.0875,SF,145 Second Street,1.0
JJ Burger,SUPPLY ONLY,AH,,Joe,510-451-0633,,0.0925,0.095,ALA,3415 Grand Avenue,1.0
Joe's Market,SUPPLY ONLY,AH,,Najeeb,510-235-5786,510-932-9224,0.0975,,CC,95 Macdonald Avenue,1.0
KB Food & Liquor,SUPPLY ONLY,AH,,Mandeep,707-731-2938,,0.0775,0.08,NAPA,234 American Canyon Rd,1.0
Kezar Pub,SUPPLY ONLY,AH,MICROS,Cyril Hackett,415-386-9292,,0.085,,SF,770 Stanyan Street,1.0
Kirala,SUPPLY ONLY,AH,,Akira,510-549-3486,510-773-4634,0.0925,0.095,ALA,2100 Ward Street,1.0
Koi Restaurant,SUPPLY ONLY,RF,,Brandon Go,562-431-1186,714-757-5379,0.0875,0.08,Seal B,600 Pacific Coast Highway,1.0
Zaytoon,SUPPLY ONLY,No call needed,,Izat,510-898-1316,510-384-9090 cell,1133 Solano Avenue,Albany,Ca,zaytoon.mediterranean@gmail.com,1.0
Zio Fraedo,SUPPLY ONLY,,,Sherry,707-642-8984,925-286-9234 cell,23 Harbor Way,Vallejo,Ca,ziofraedos@yahoo.com,1.0
Bagel Street Café - San Ramon,SUPPLY ONLY,,,Danielle,925-973-9888,408-768-8053,142 Sunset Drive,San Ramon,Ca,94583,1.0
La Taberna,SUPPLY ONLY,AH,,Eddie,707-224-5551,,0.0775,0.08,NAPA,815 Main Street,1.0
Lama Beans,SUPPLY ONLY,AH,,Lodo,510-528-3435,,0.0925,0.095,ALA,1290 6th Street,1.0
Ishtar Market,SUPPLY ONLY,AH,,Joe,209-250-1237,,0.08625,,STANI,2340 W. Monte Vista Ave,1.0
Island Pacific - Vallejo,SUPPLY ONLY,AH,,Max,707-552-6730,,0.08375,0.0863,SOL,24 Springstowne Center,1.0
J.K. Bay Area,SUPPLY ONLY,RF,,Mark Perry,707-217-4765,,0.08375,,SOL,968 Admiral Callaghan Lane,1.0
Java NorCal - Marysville #2,SUPPLY ONLY,,,Ron Sands,530-741-3941,530-308-8233,705 10th Street,Marysville,Ca,95901,1.0
Java NorCal - Redding,SUPPLY ONLY,,,Ron Sands,530-224-9010,530-308-8233,495 E. Cypress,Redding,Ca,96002,1.0
Java Norcal - San Rafael,SUPPLY ONLY,,,Melissa,415-458-3539,,836 2nd Street,San Rafael,Ca,94901,1.0
Java NorCal - Yuba City,SUPPLY ONLY,,,Ron Sands,530-673-2252,530-308-8233,560 Colusa Ave,Yuba City,Ca,95991,1.0
Finnegan's,SUPPLY ONLY,AH,,Sean,415-899-1516,,0.085,0.09,Novato,877 Grant Avenue,1.0
Fire Island Grill - Palmdale,SUPPLY ONLY,JS,,Patrick Burke,661-802-6071,661-272-1402,0.1025,0.09,LA,40117 10th Street West Suite B,1.0
Fire Island Grill - Simi Valley ,SUPPLY ONLY,JS,,Jim Carter,805-581-1999,805-971-5991,0.0725,0.075,VENT,1230 Madera Road,1.0
Flybird,SUPPLY ONLY,RF,,Guy,415-872-9293,,0.085,,SF,35 Kearny St,1.0
Hardy's Bavaria,SUPPLY ONLY,AH,,Edith,408-720-1531,,0.09,,SC,111 W Evelyn Ave #108,1.0
Harvest Moon Café,SUPPLY ONLY,RF,,Jen Demarest,707-933-8160,,0.09,0.0875,Sonoma,487 First Street West,1.0
Hawaiian Drive In,SUPPLY ONLY,AH,,Alan,415-656-0998,415-200-7888,0.085,,SF,2600 San Bruno Avenue,1.0
Gentry,SUPPLY ONLY,RF,,Ryan  ,408-234-1762,,0.09,,SC,19429 Stevens Creek Blvd,1.0
George's - San Rafael,SUPPLY ONLY,SG,,Kenny,415-226-0262,,0.0925,0.0925,San Raf,842 4th Street,1.0
Gitane,SUPPLY ONLY,RF,,Franck LeClerc,415-788-6686,415-481-0483,0.085,0.0875,SF,6 Claude Lane,1.0
Gochees Pizza,SUPPLY ONLY,RF,,Gina,415-834-9600,,0.085,0.0875,SF,2 Embarcadero Center B6,1.0
Golden Gate Taproom & Grill,SUPPLY ONLY,AH,,Manager,415-981-8646,,0.085,0.0875,SF,449 Powell Street,1.0
Java NorCal - Corporate,SUPPLY ONLY,,,Ron Sands,530-308-8233,530-308-8233,1010 Fox Run Court,Auburn,Ca,95603,1.0
Java NorCal - Marysville,SUPPLY ONLY,,,Ron Sands,530-749-1303,530-308-8233,515 Third Street,Marysville,Ca,95901,1.0
Green Chile Kitchen - SF,SUPPLY ONLY,SG,,Melesio,415-440-9412,716-880-9894,0.085,,SF,1801 McAllister Street,1.0
Greenway Golf,SUPPLY ONLY,AH,,Ben Ratto,510-747-7826,,0.0975,0.095,Alam,#1 Clubhouse Memorial Road,1.0
Grille 101,SUPPLY ONLY,RF,,Shawn,415-499-5902,,0.0925,0.0925,San Raf,101 McInnis Parkway,1.0
Gualala Supermarket,SUPPLY ONLY,RF,,Debbie,707-884-1205,,0.07875,0.0762,MENDO,39225 Highway 1,1.0
Hamilton's Automotive,SUPPLY ONLY,,,Leo/Kevin,415-705-9395,,7300 Redwood Blvd,Novato,Ca,,1.0
Hamilton's Automotive,SUPPLY ONLY,AH,,Leo/Kevin,415-705-9395,,0.085,,MARIN,7300 Redwood Blvd,1.0
Java Detour - Auburn,SUPPLY ONLY,,,Kim,530-823-5282,530-308-6011,405 Grass Valley Highway,Auburn,Ca,95603,1.0
Java Detour - Bakersfield,SUPPLY ONLY,,,Jennifer,661-322-5388,661-900-4536,3623 California Street,Bakersfield,Ca,93309,1.0
Java Detour - Chico Esplanade,SUPPLY ONLY,,,Karstan,530-566-9556,530-624-9345,2519 Esplanade,Chico,Ca,95926,1.0
Java Detour - Citrus Heights,SUPPLY ONLY,,,Yvonne,916-723-6935,530-632-5092,8540 Auburn Blvd,Citrus Heights,Ca,95610,1.0
Java Detour - Corporate,SUPPLY ONLY,,,Alex Mayer,415-241-8020,415-309-2002,172 Golden Gate Ave.,San Francisco,Ca,94102,1.0
Java Detour - Red Bluff,SUPPLY ONLY,,,Eva-Tori,530-528-2202,,550 Main Street,Red Bluff,Ca,96080,1.0
Java Detour - San Francisco,SUPPLY ONLY,,,Rob,415-626-5352,415-640-5341,170 South Van Vess,San Francisco,Ca,94103,1.0
Java Norcal - Chico Mangrove,SUPPLY ONLY,,,Karstan,530-893-2828,530-624-9345,1055 Mangrove,Chico,Ca,95926,1.0
Don Chato,SUPPLY ONLY,AH,,Eduardo,661-947-7166,,0.1025,,LA,38350 30th Street E,1.0
