name,phone,email,address,city,state,zip,type,source
Blueberry Hill Family Restaurant,(702) 877-8867,,1280 S Decatur Blvd,Las Vegas,NV,89102,restaurant,leads:yp_directory
Bob Taylor's Ranch House,(702) 645-1399,,6250 Rio Vista St,Las Vegas,NV,89130,restaurant,leads:yp_directory
Bobby Q,(602) 995-5982,,8501 N 27th Ave,Phoenix,AZ,85051,restaurant,leads:yp_directory
Bobby Salazar's Restaurant,(559) 497-9920,,725 E Olive Ave,Fresno,CA,93728,restaurant,leads:yp_directory
BOH-A MANO,+15596415300,,"35364 CA-41, Coarsegold, CA 93614",Coarsegold,CA,93614,customer,vendors:msg661_Pendo_0920.xlsx
Bolsa Vietnamese Restaurant,(858) 693-3663,,9225 Mira Mesa Blvd Ste 118,San Diego,CA,92126,restaurant,leads:yp_directory
Bon Ton's Cafe,(719) 634-1007,,2601 W Colorado Ave,Colorado Springs,CO,80904,restaurant,leads:yp_directory
Bonchon Philadelphia,(267) 639-6686,,1020 Cherry St,Philadelphia,PA,19107,restaurant,leads:yp_directory
Bone's Restaurant,(404) 237-2663,,3130 Piedmont Rd NE,Atlanta,GA,30305,restaurant,leads:yp_directory
Bonefish Grill,(317) 863-3474,,4501 E 82nd St,Indianapolis,IN,46250,restaurant,leads:yp_directory
Bonefish Grill,(919) 782-5127,,4421 Six Forks Rd,Raleigh,NC,27609,restaurant,leads:yp_directory
Bonnell's Fine Texas Cuisine,(817) 738-5489,,4259 Bryant Irvin Rd,Fort Worth,TX,76109,restaurant,leads:yp_directory
Boomerjacks Grill & Bar,(817) 275-5400,,522 Lincoln Sq,Arlington,TX,76011,restaurant,leads:yp_directory
Boots & Bourbon,+13362859120,,"1310 Westover Terrace Suite 112 Greensboro, NC 27408",Greensboro,NC,27408,restaurant,vendors:yelp_USA
Boran Thai Restaurant,(323) 469-8883,,5401 Hollywood Blvd # 3405,Los Angeles,CA,90027,restaurant,leads:yp_directory
Bori,+17345907100,,"311 S Main St Fl 2 Ann Arbor, MI 48104",Ann Arbor,MI,48104,restaurant,vendors:yelp_USA
Bottega,+14156558889,,"1132 Valencia St San Francisco, CA 94110",San Francisco,CA,94110,restaurant,vendors:yelp_USA
Boudreaux's II Willowbrook,(281) 469-8500,,17595 State Highway 249,Houston,TX,77064,restaurant,leads:yp_directory
Bourbon St. Cafe,(405) 232-6666,,100 E California Ave,Oklahoma City,OK,73104,restaurant,leads:yp_directory
Bourbon Street Seafood Kitchen,(210) 545-0666,,2815 N Loop 1604 E,San Antonio,TX,78232,restaurant,leads:yp_directory
Bratts Hill by Chef Darian,+17163622665,,"719 Seneca St Buffalo, NY 14210",Buffalo,NY,14210,restaurant,vendors:yelp_USA
BRAVAS TAPAS,+15593485555,,"2305 W Shaw Ave, Fresno, CA 93711",Fresno,CA,93711,customer,vendors:msg657_Pendo_0423 (18).xlsx
Breckenridge Brewery of Colorado,(303) 803-1380,,471 Kalamath St,Denver,CO,80204,restaurant,leads:yp_directory
Brewery Bhavana,+19198299998,,"218 S Blount St Raleigh, NC 27601",Raleigh,NC,27601,restaurant,vendors:yelp_USA
Brick Restaurant,(904) 387-0606,,3585 Saint Johns Ave,Jacksonville,FL,32205,restaurant,leads:yp_directory
Brickhouse Pizza,(317) 638-3663,,5339 English Ave,Indianapolis,IN,46219,restaurant,leads:yp_directory
Bristol Bar & Grille,(502) 456-1702,,1321 Bardstown Rd,Louisville,KY,40204,restaurant,leads:yp_directory
Bristol Seafood + Steak + Social,(816) 448-6007,,51 E 14th St,Kansas City,MO,64106,restaurant,leads:yp_directory
Brookfields Restaurant Sacramento,(916) 332-0108,,4343 Madison Ave,Sacramento,CA,95842,restaurant,leads:yp_directory
Bruno Restaurant,(919) 435-6640,,11211 Galleria Ave,Raleigh,NC,27614,restaurant,leads:yp_directory
Bubba Gump Shrimp Co.,(714) 635-4867,,321 W Katella Ave Ste 101,Anaheim,CA,92802,restaurant,leads:yp_directory
Bubba's Crabhouse & Seafood Restaurant,(757) 481-0665,,3323 Shore Dr,Virginia Beach,VA,23451,restaurant,leads:yp_directory
Bubsters Burger Grill,(505) 837-2827,,5555 Montgomery Blvd NE,Albuquerque,NM,87109,restaurant,leads:yp_directory
Bucatini,+12122580675,,"2 E 45th St New York, NY 10017",New York,NY,10017,restaurant,vendors:yelp_USA
Buffalo Brothers,(817) 386-4367,,3015 S University Dr,Fort Worth,TX,76109,restaurant,leads:yp_directory
Buffalo Brothers,(919) 878-4800,,3111 Capital Blvd,Raleigh,NC,27604,restaurant,leads:yp_directory
Buffet,(210) 333-3888,,2203 SE Loop 410,San Antonio,TX,78220,restaurant,leads:yp_directory
Bunbury,+13053336929,,"55 NE 14th St Miami, FL 33132",Miami,FL,33132,restaurant,vendors:yelp_USA
Burger & Lobster,(917) 565-9044,,132 W 43rd St Next To Stephen Sondheim Theatre,New York City,NY,10036,restaurant,leads:yp_directory
Butcher and Singer,+12157324444,,"1500 Walnut St Philadelphia, PA 19102",Philadelphia,PA,19102,restaurant,vendors:yelp_USA
Butcher and the Brewer,+12163310805,,"2043 E 4th St Cleveland, OH 44115",Cleveland,OH,44115,restaurant,vendors:yelp_USA
Butcher and the Rye,+14123912752,,"212 6th St Pittsburgh, PA 15222",Pittsburgh,PA,15222,restaurant,vendors:yelp_USA
Butcher's Union,+16165511323,,"438 Bridge St Grand Rapids, MI 49504",Grand Rapids,MI,49504,restaurant,vendors:yelp_USA
Butterjoint,+14126212700,,"208 N Craig St Pittsburgh, PA 15213",Pittsburgh,PA,15213,restaurant,vendors:yelp_USA
By The Sea Restaurant,(559) 446-0201,,6745 N Palm Ave,Fresno,CA,93704,restaurant,leads:yp_directory
C & S Seafood & Oyster Bar,(770) 272-0999,,3300 Cobb Pkwy SE,Atlanta,GA,30339,restaurant,leads:yp_directory
C Level,+16192986802,,"880 Harbor Island Dr San Diego, CA 92101",San Diego,CA,92101,restaurant,vendors:yelp_USA
CA - Teriyaki Madness Chatsworth,818-812-9779,,"9851 Mason Ave, Chatsworth, CA 91311, USA",Los Angeles,California,91311,,leads:Teriyaki Madness Official
CA - Teriyaki Madness Columbus,661-742-1650,,"1525 Columbus St ste 100, Bakersfield, CA 93305, USA",Bakersfield,California,93305,,leads:Teriyaki Madness Official
CA - Teriyaki Madness DTLA,213-265-7290,,"1120 W 6th St Unit #105 Los Angeles, CA",,CA,,,leads:Teriyaki Madness Official
CA - Teriyaki Madness Fresno,5595702370,,"6587 N Riverside Dr, Fresno, CA 93722, USA",Fresno,California,93722,,leads:Teriyaki Madness Official
CA - Teriyaki Madness Imperial Beach,(619) 500-5393,,"2511 Coronado Ave, San Diego, CA 92154, USA",San Diego,California,92154,,leads:Teriyaki Madness Official
CA - Teriyaki Madness Lake Forest,949-273-3949,,"23647 El Toro Rd Suite D, Lake Forest, CA 92630",,CA,,,leads:Teriyaki Madness Official
CA - Teriyaki Madness Marina,(831) 324-4932,,"110 General Stilwell Building B, #102, Marina, CA 93933",,CA,,,leads:Teriyaki Madness Official
CA - Teriyaki Madness Otay Center,(619) 349-3544,,"2535 Otay Center Dr Suite C, San Diego, CA 92154",,CA,,,leads:Teriyaki Madness Official
CA - Teriyaki Madness Sacramento,9165720006,,"289 3rd St, West Sacramento, CA 95605, USA",West Sacramento,California,95605,,leads:Teriyaki Madness Official
CA - Teriyaki Madness Salinas,(831) 272-3196,,"1606 N Main St, Salinas, CA 93906, USA",Salinas,California,93906,,leads:Teriyaki Madness Official
CA - Teriyaki Madness San Fernando,(818) 900-0978,,"1240 Truman St #165, San Fernando, CA 91340",,CA,,,leads:Teriyaki Madness Official
CA - Teriyaki Madness San Jose,4085640975,,"5297 Prospect Rd, San Jose, CA 95129, USA",San Jose,California,95129,,leads:Teriyaki Madness Official
CA - Teriyaki Madness Santa Clara,(408) 352-5148,,"2020 Wyatt Drive, Suite 120, Santa Clara, CA",,CA,,,leads:Teriyaki Madness Official
CA - Teriyaki Madness Sylmar,(818) 928-7202,,"13762 Foothill Blvd, Sylmar, CA 91342",,CA,,,leads:Teriyaki Madness Official
Ca'Bianca Ristorante Italiano,(707) 542-5800,,835 2nd St,Santa Rosa,CA,95404,fine dining,leads:yelp_directory
Cafe 2040,(323) 660-3868,,2040 Hillhurst Ave,Los Angeles,CA,90027,restaurant,leads:yp_directory
Cafe Capistrano Mexican Restaurant,(919) 872-1127,,8471 Garvey Dr Ste 113,Raleigh,NC,27616,restaurant,leads:yp_directory
Cafe Central,(915) 545-2233,,109 N Oregon St Ste 210,El Paso,TX,79901,restaurant,leads:yp_directory
Cafe Citti,(707) 523-2690,,2792 4th St,Santa Rosa,CA,95405,cafe,leads:yelp_directory
Cafe Colore,(303) 534-6844,,1512 Larimer St Unit 12R,Denver,CO,80202,restaurant,leads:yp_directory
Cafe L'ami,(323) 660-3868,,2040 Hillhurst Ave,Los Angeles,CA,90027,restaurant,leads:yp_directory
Cafe Mix,(480) 325-2828,,4405 E Mckellips Rd Ste 106,Mesa,AZ,85215,restaurant,leads:yp_directory
Cafe Piccolo,(562) 438-1316,,3222 E Broadway,Long Beach,CA,90803,restaurant,leads:yp_directory
Cafe Sevilla,(562) 495-1111,,140 Pine Ave,Long Beach,CA,90802,restaurant,leads:yp_directory
Caffe and Ristorante Cibus at Npllc,(214) 692-0001,,8687 N Central Expy Ste 1608,Dallas,TX,75225,restaurant,leads:yp_directory
Caffe Delle Stelle,(415) 252-1110,,395 Hayes St,San Francisco,CA,94102,restaurant,leads:yp_directory
Caffe Moderne,(316) 260-1199,,300 N Mead St Ste 108,Wichita,KS,67202,restaurant,leads:yp_directory
CAFÉ LA HAYE,+15592289735,,"8398 N Fresno St, Ste 101, Fresno, CA 93720",Fresno,CA,93720,customer,vendors:msg661_Pendo_0920.xlsx
CAFÉ LOTUS,+15593727044,,"3837 W Caldwell Ave, Ste A, Visalia, CA 93277",Visalia,CA,93277,customer,vendors:msg657_Pendo_0423 (18).xlsx
California Pizza Kitchen,(714) 991-0305,,321 W Katella Ave Ste 104,Anaheim,CA,92802,restaurant,leads:yp_directory
California Tacos & More,(402) 342-0212,,3235 California St,Omaha,NE,68131,restaurant,leads:yp_directory
CALISTOGA INN,+15596412969,,"39694 Pierce Lake Dr, Oakhurst, CA 93644",Oakhurst,CA,93644,customer,vendors:msg657_Pendo_1023 (8).xlsx
Camila's Restaurants,(305) 375-0992,,129 SE 1st Ave,Miami,FL,33131,restaurant,leads:yp_directory
CANADA - Teriyaki Madness Lethbridge,(587) 425-1003,,"19 Southgate Blvd. South #20   Lethbridge, AB T1K 6S5",Lethbridge,Alberta,T1K 2R6,Fast Casual Restaurant,leads:Teriyaki Madness Official
CANADA - Teriyaki Madness Regina,306-559-4594,,"5966 Rochdale Blvd, Regina, SK S4X, Canada",Regina,Saskatchewan,,Fast Casual Restaurant,leads:Teriyaki Madness Official
Caney Fork River Valley Grille,(615) 724-1200,,C. 4 Sur Callejón De Los Sapos,Nashville,TN,37214,restaurant,leads:yp_directory
Canoe,+17704322663,,"4199 Paces Ferry Rd SE Atlanta, GA 30339",Atlanta,GA,30339,restaurant,vendors:yelp_USA
Canoe,(770) 432-2663,,4199 Paces Ferry Rd SE,Atlanta,GA,30339,restaurant,leads:yp_directory
Capo's Restaurant and Speakeasy,(702) 364-2276,,5675 W Sahara Ave,Las Vegas,NV,89146,restaurant,leads:yp_directory
Capriccio,+17869365470,,"5600 Blue Lagoon Dr Ste 9 Miami, FL 33126",Miami,FL,33126,restaurant,vendors:yelp_USA
Capriccio Ny Pizza & Italian Restaurant,(704) 596-5454,,9611 Brookdale Dr,Charlotte,NC,28215,restaurant,leads:yp_directory
Captain Jays,(313) 308-3474,,9654 Gratiot Ave,Detroit,MI,48213,restaurant,leads:yp_directory
Captain Kidd's,(714) 491-4788,,1550 S Harbor Blvd,Anaheim,CA,92802,restaurant,leads:yp_directory
Carlos O'Kelly's Mexican Cafe,(316) 554-1700,,4872 S Broadway Ave,Wichita,KS,67216,restaurant,leads:yp_directory
Carlos' Country Kitchen,(707) 569-9734,,90 W College Ave,Santa Rosa,CA,95401,restaurant,leads:yelp_directory
Carmel,+12135164129,,"7383 Melrose Ave Los Angeles, CA 90046",Los Angeles,CA,90046,restaurant,vendors:yelp_USA
Carmelo's Ristorante Italiano,(281) 531-0696,,14795 Memorial Dr,Houston,TX,77079,restaurant,leads:yp_directory
Carmine's Italian Restaurant - Times Square,(212) 221-3800,,200 W 44th St Times Square,New York City,NY,10036,restaurant,leads:yp_directory
Carrows,(510) 635-3295,,405 Hegenberger Rd,Oakland,CA,94621,restaurant,leads:yp_directory
Casa Bembé,+14703122126,,"3655 Roswell Rd NE Atlanta, GA 30342",Atlanta,GA,30342,restaurant,vendors:yelp_USA
Casa Bianca Pizza Pie,(323) 256-9617,,,Los Angeles,CA,90041,restaurant,leads:yp_directory
Casa Ipanema,+14244434345,,"501 S Olive St Los Angeles, CA 90013",Los Angeles,CA,90013,restaurant,vendors:yelp_USA
Casa Juan Restaurant,(305) 265-7595,,5755 NW 7th St,Miami,FL,33126,restaurant,leads:yp_directory
Casa Maria Mexican Restaurant,(904) 619-8186,,14965 Old Saint Augustine Rd,Jacksonville,FL,32258,restaurant,leads:yp_directory
Casamento's Restaurant,(504) 895-9761,,4330 Magazine St,New Orleans,LA,70115,restaurant,leads:yp_directory
CASAVA,+15592982563,,"7058 N Cedar Ave, Fresno, CA 93720",Fresno,CA,93720,customer,vendors:msg657_Pendo_0423 (18).xlsx
Castillos Restaurant,(408) 363-8466,,5639 Cottle Rd,San Jose,CA,95123,restaurant,leads:yp_directory
Cat City Grill,(817) 916-5333,,1208 W Magnolia Ave,Fort Worth,TX,76104,restaurant,leads:yp_directory
Catch 31,(757) 213-3472,,3001 Atlantic Ave,Virginia Beach,VA,23451,restaurant,leads:yp_directory
Cattleman's Steakhouse,(918) 622-4000,,3332 S 79th East Ave,Tulsa,OK,74145,restaurant,leads:yp_directory
CAYLA'S CORNER,+17609343039,,"1528 Tavern Rd, Mammoth Lakes, CA 93546",Mammoth Lakes,CA,93546,customer,vendors:msg657_Pendo_0423 (18).xlsx
Cecilia's Cafe,(505) 243-7070,,230 6th St SW,Albuquerque,NM,87102,restaurant,leads:yp_directory
Cedarland Restaurant & Specialty Grocery,(704) 535-9662,,4832 Central Ave Ste E,Charlotte,NC,28205,restaurant,leads:yp_directory
Celis Crab House,(904) 330-0701,,1352 University Blvd N,Jacksonville,FL,32211,restaurant,leads:yp_directory
Cervantes Restaurant & Lounge,(505) 262-2253,,5801 Gibson Blvd SE,Albuquerque,NM,87108,restaurant,leads:yp_directory
Cesarina,+16192266222,,"4161 Voltaire St Ste B San Diego, CA 92107",San Diego,CA,92107,restaurant,vendors:yelp_USA
Chama Gaucha Brazilian Steakhouse,(210) 564-9400,,18318 Sonterra Pl,San Antonio,TX,78258,restaurant,leads:yp_directory
Chama Mama,+13476892725,,"121 Montague St Brooklyn, NY 11201",Brooklyn,NY,11201,restaurant,vendors:yelp_USA
Charleston's Restaurant,(480) 635-9500,,1623 S Stapley Dr,Mesa,AZ,85204,restaurant,leads:yp_directory
Charleston's Restaurant,(402) 431-0023,,13851 Fnb Pkwy,Omaha,NE,68154,restaurant,leads:yp_directory
Charritos Plaza,(816) 231-0338,,3831 Independence Ave,Kansas City,MO,64124,restaurant,leads:yp_directory
Chazz Restaurant,(210) 767-5444,,9800 Westover Hills Blvd,San Antonio,TX,78251,restaurant,leads:yp_directory
Che Butter Jonez,+14049194061,,"1602 Lavista Rd NE Atlanta, GA 30329",Atlanta,GA,30329,restaurant,vendors:yelp_USA
Cheddar's Scratch Kitchen,(817) 572-2966,,4830 Little Rd,Arlington,TX,76017,restaurant,leads:yp_directory
Cheddar's Scratch Kitchen,(915) 593-6979,,11895 Gateway Blvd W,El Paso,TX,79936,restaurant,leads:yp_directory
Cheever's Cafe,(405) 525-7007,,2409 N Hudson Ave,Oklahoma City,OK,73103,restaurant,leads:yp_directory
Chef Moussa,+13099664234,,"201 E Lake Ave Peoria, IL 61614",Peoria,IL,61614,restaurant,vendors:yelp_USA
Chef's Choice,(661) 325-1234,,1534 19th St,Bakersfield,CA,93301,restaurant,leads:yp_directory
Chelino's Mexican Restaurant,(405) 947-5611,,1605 N Meridian Ave,Oklahoma City,OK,73127,restaurant,leads:yp_directory
China Garden Restaurant,(317) 781-0943,,7015 Madison Ave,Indianapolis,IN,46227,restaurant,leads:yp_directory
China Garlic Restaurant,(510) 654-5033,,3941 Piedmont Ave,Oakland,CA,94611,restaurant,leads:yp_directory
China Jade,(305) 651-8687,,20703 NW 2nd Ave,Miami,FL,33169,restaurant,leads:yp_directory
China Town Express 80,(323) 461-1207,,5445 Hollywood Blvd,Los Angeles,CA,90027,restaurant,leads:yp_directory
Chops Lobster Bar,(404) 262-2675,,70 W Paces Ferry Rd NW,Atlanta,GA,30305,restaurant,leads:yp_directory
Chortke,+15856706683,,"352 Goodman St N Rochester, NY 14607",Rochester,NY,14607,restaurant,vendors:yelp_USA
Chow,(919) 841-4995,,8311 Creedmoor Rd,Raleigh,NC,27613,restaurant,leads:yp_directory
Chow Down Alley,(904) 880-7900,,14775 Old Saint Augustine Rd,Jacksonville,FL,32258,restaurant,leads:yp_directory
Chuan Jiang Hao Zi,+16143725520,,"496 Ackerman Rd Columbus, OH 43202",Columbus,OH,43202,restaurant,vendors:yelp_USA
Chuck Wagon Restaurant,(305) 274-2263,,7628 SW 117th Ave,Miami,FL,33183,restaurant,leads:yp_directory
Chuy's,(512) 474-4452,,1728 Barton Springs Rd,Austin,TX,78704,restaurant,leads:yp_directory
Ciao Bello,(713) 960-0333,,5161 San Felipe St,Houston,TX,77056,restaurant,leads:yp_directory
Cibo Detroit,+13133383529,,"600 W Lafayette Blvd Detroit, MI 48226",Detroit,MI,48226,restaurant,vendors:yelp_USA
Ciccio Mio,+13127963316,,"226 W Kinzie Chicago, IL 60654",Chicago,IL,60654,restaurant,vendors:yelp_USA
CILANTRO SF,+15596587771,,"40015 Hwy 49, Ste 203 & 204, Oakhurst, CA 93644",Oakhurst,CA,93644,customer,vendors:msg661_Pendo_0920.xlsx
Cindy's Rooftop,+13127923502,,"12 S Michigan Ave Chicago, IL 60603",Chicago,IL,60603,restaurant,vendors:yelp_USA
City Hall,(305) 764-3130,,2004 Biscayne Blvd,Miami,FL,33137,restaurant,leads:yp_directory
City Limits Bakery & Cafe,(615) 646-0062,,361 Clofton Dr,Nashville,TN,37221,restaurant,leads:yp_directory
City View Restaurant,(415) 398-2838,,662 Commercial St,San Francisco,CA,94111,restaurant,leads:yp_directory
Claim Jumper,(562) 431-1321,,6501 E Pacific Coast Hwy,Long Beach,CA,90803,restaurant,leads:yp_directory
Clark's Fish Camp Seafood Restaurant,(904) 268-3474,,12903 Hood Landing Rd,Jacksonville,FL,32258,restaurant,leads:yp_directory
Classic Slice,(414) 727-0761,,2797 S Kinnickinnic Ave,Milwaukee,WI,53207,restaurant,leads:yp_directory
Clover Grill,(504) 598-1010,,900 Bourbon St,New Orleans,LA,70116,restaurant,leads:yp_directory
CLYDE'S LIQUOR,+15596740661,,"21153 Rd 600, Madera, CA 93638",Madera,CA,93638,customer,vendors:msg657_Pendo_0423 (18).xlsx
CO - Teriyaki Madness Applewood,(720) 583-0280,,"3500 Youngfield St, Wheat Ridge, CO 80033, USA",Wheat Ridge,Colorado,80033,,leads:Teriyaki Madness Official
CO - Teriyaki Madness Arapahoe Marketplace,(303) 771-5280,,"8547 E Arapahoe Rd Unit F, Greenwood Village, CO 80112",,CO,,,leads:Teriyaki Madness Official
CO - Teriyaki Madness Broomfield,7205736921,,"4700 W 121st Ave, Broomfield, CO 80020, USA",Broomfield,Colorado,80020,,leads:Teriyaki Madness Official
CO - Teriyaki Madness Colorado Springs,719-900-5848,,"7895 Silicon Hts Unit 150, Colorado Springs, CO 80922, USA",Colorado Springs,Colorado,80922,,leads:Teriyaki Madness Official
CO - Teriyaki Madness Denver Tech Center,720-519-0107,,"8080 E Union Ave Suite 130, Denver, CO 80237​",,CO,,,leads:Teriyaki Madness Official
CO - Teriyaki Madness Firestone,(720) 684-6484,,"4275 City Centre Rd Unit 500, Firestone, CO 80504",,CO,,,leads:Teriyaki Madness Official
CO - Teriyaki Madness Fort Collins,(970) 631-8409,,"1880 N College Ave ste 130, Fort Collins, CO 80524, USA",Fort Collins,Colorado,80524,,leads:Teriyaki Madness Official
CO - Teriyaki Madness Greeley,9703014485,,"111 Centerplace Dr Ste 104, Greeley, CO 80634",Greeley,Colorado,,,leads:Teriyaki Madness Official
CO - Teriyaki Madness Highlands Ranch,3039529391,,"1525 Park Central Dr, Highlands Ranch, CO 80129, USA",Highlands Ranch,Colorado,80129,,leads:Teriyaki Madness Official
CO - Teriyaki Madness Johnstown,970-663-9154,,"4944 Thompson Pkwy., Johnstown, CO",,CO,,,leads:Teriyaki Madness Official
CO - Teriyaki Madness Littleton,303-955-6334,,"5866 S. Wadsworth Blvd, Suite 3600, Littleton, CO",,CO,,,leads:Teriyaki Madness Official
CO - Teriyaki Madness Longmont,(303) 532-5232,,"1232 S Hover St, Longmont, CO 80501, USA",Longmont,Colorado,80501,,leads:Teriyaki Madness Official
COASTAL PACIFIC,+15592687000,,"3080 E Malaga Ave, Fresno, CA 93725",Fresno,CA,93725,customer,vendors:msg657_Pendo_0423 (18).xlsx
Cobble Fish,+12122102997,,"89 S St Pier 16 New York, NY 10038",New York,NY,10038,restaurant,vendors:yelp_USA
Cocina Azul,(505) 831-2500,,1134 Mountain Rd NW,Albuquerque,NM,87102,restaurant,leads:yp_directory
COFFEE ROASTERY,+17606463994,,"436 Old Mammoth Rd, Ste 1, Mammoth Lakes, CA 93546",Mammoth Lakes,CA,93546,customer,vendors:msg657_Pendo_0423 (18).xlsx
Colanizi Bar,(215) 389-5004,,1301 W Moyamensing Ave,Philadelphia,PA,19148,restaurant,leads:yp_directory
Commis,(510) 653-3902,,3859 Piedmont Ave,Oakland,CA,94611,restaurant,leads:yp_directory
Common Restaurant,+19127773742,,"118 E Broughton St Savannah, GA 31401",Savannah,GA,31401,restaurant,vendors:yelp_USA
Como's Italian Restaurant,(915) 533-0287,,4030 N Mesa St,El Paso,TX,79902,restaurant,leads:yp_directory
Con Amor,+18132523868,,"5240 N Florida Ave Tampa, FL 33603",Tampa,FL,33603,restaurant,vendors:yelp_USA
Connected Restaurant,+13096865925,,"3218 N Dries Ln Peoria, IL 61604",Peoria,IL,61604,restaurant,vendors:yelp_USA
Connie's Mexico Cafe,(316) 832-9636,,2227 N Broadway Ave,Wichita,KS,67219,restaurant,leads:yp_directory
CONSUMER'S LIQUORS,+15594582400,,"5610 E Olive Ave, Fresno, CA 93727",Fresno,CA,93727,customer,vendors:msg661_Pendo_0920.xlsx
Cooper's Hawk Winery & Restaurant,+17432498500,,"701 Friendly Center Rd Greensboro, NC 27408",Greensboro,NC,27408,restaurant,vendors:yelp_USA
Copeland's of New Orleans,(904) 998-4414,,4310 Southside Blvd,Jacksonville,FL,32216,restaurant,leads:yp_directory
Coquette Cafe,(414) 291-2655,,316 N Milwaukee St,Milwaukee,WI,53202,restaurant,leads:yp_directory
Corbett Fish House,(503) 246-4434,,5901 SW Corbett Ave,Portland,OR,97239,restaurant,leads:yp_directory
Cordelia,+12162302355,,"2058 E 4th St Cleveland, OH 44115",Cleveland,OH,44115,restaurant,vendors:yelp_USA
Corner Bakery Cafe,(214) 361-1316,,205 Northpark Ctr,Dallas,TX,75225,restaurant,leads:yp_directory
Corner Cafe,(502) 426-8119,,9307 New La Grange Rd,Louisville,KY,40242,restaurant,leads:yp_directory
Costa Del Sol,(402) 596-1978,,4454 S 84th St,Omaha,NE,68127,restaurant,leads:yp_directory
COTE OUEST BISTRO,+15592970783,,"438 Clovis Ave, Ste 4, Clovis, CA 93612",Clovis,CA,93612,customer,vendors:msg657_Pendo_1123 (12).xlsx
Cotton & Rye,+19127776286,,"1801 Habersham St Savannah, GA 31401",Savannah,GA,31401,restaurant,vendors:yelp_USA
Cozy Corner Cafe,(480) 830-6305,,5901 E Mckellips Rd Ste 102,Mesa,AZ,85215,restaurant,leads:yp_directory
Cracker Barrel Old Country Store,(210) 333-0167,,3327 SE Military Dr,San Antonio,TX,78223,restaurant,leads:yp_directory
Crackers & Co Cafe,(480) 924-9977,,1325 N Greenfield Rd Ste 101,Mesa,AZ,85205,restaurant,leads:yp_directory
Crackers & Co. Cafe,(480) 898-1717,,535 W Iron Ave,Mesa,AZ,85210,restaurant,leads:yp_directory
CRAFT,+12142003827,,"5974 W Northwest Hwy Dallas, TX 75225",Dallas,TX,75225,restaurant,vendors:yelp_USA
Craft & Vine,+17064968442,,"1204 Broad St Ste B Augusta, GA 30901",Augusta,GA,30901,restaurant,vendors:yelp_USA
Crave Sandwich Cafe & Catering,(602) 257-1616,,541 E Van Buren St,Phoenix,AZ,85004,restaurant,leads:yp_directory
Craw Daddy,(408) 286-2729,,779 Story Rd Ste 10,San Jose,CA,95122,restaurant,leads:yp_directory
Crazy About You,+13053774442,,"1155 Brickell Bay Dr Ste 101 Miami, FL 33131",Miami,FL,33131,restaurant,vendors:yelp_USA
Crazy Fire Mongolian Grill,(919) 872-3575,,3611 Spring Forest Rd,Raleigh,NC,27616,restaurant,leads:yp_directory
Crazy Water,(414) 645-2606,,839 S 2nd St,Milwaukee,WI,53204,restaurant,leads:yp_directory
Credence,+17135682525,,"9757 Katy Fwy Ste 170 Houston, TX 77024",Houston,TX,77024,restaurant,vendors:yelp_USA
Crepevine,(707) 577-8822,,740 Farmers Ln,Santa Rosa,CA,95405,restaurant,leads:yelp_directory
Crescent Moon Ale House,(402) 345-1708,,3578 Farnam St,Omaha,NE,68131,restaurant,leads:yp_directory
Cricket's Country Kitchen,(916) 331-6405,,4745 Auburn Blvd,Sacramento,CA,95841,restaurant,leads:yp_directory
Crisp Rochester,+15859787237,,"819 S Clinton Ave Rochester, NY 14620",Rochester,NY,14620,restaurant,vendors:yelp_USA
Croakers Inc,(757) 363-2490,,3629 Shore Dr,Virginia Beach,VA,23455,restaurant,leads:yp_directory
Crosseye Seagull,(210) 545-3440,,19141 Stone Oak Pkwy,San Antonio,TX,78258,restaurant,leads:yp_directory
Cruiser Pizza,(323) 666-0600,,4449 Prospect Ave,Los Angeles,CA,90027,restaurant,leads:yp_directory
Crust & Craft,+13365008346,,"1424 Westover Terrace Greensboro, NC 27408",Greensboro,NC,27408,restaurant,vendors:yelp_USA
Crying Tiger,+13127360183,,"51 W Hubbard St Chicago, IL 60654",Chicago,IL,60654,restaurant,vendors:yelp_USA
Crystal Beer Parlor,+19123491000,,"301 W Jones St Savannah, GA 31401",Savannah,GA,31401,restaurant,vendors:yelp_USA
Cucina Italiana,(858) 274-9732,,4705 Clairemont Dr Ste A,San Diego,CA,92117,restaurant,leads:yp_directory
Cugino's Pizza,(317) 545-3663,,4751 N Franklin Rd,Indianapolis,IN,46226,restaurant,leads:yp_directory
Culinary Dropout,+19802159005,,"1120 S Tryon St Ste 100 CHARLOTTE, NC 28203",CHARLOTTE,NC,28203,restaurant,vendors:yelp_USA
Culinary Dropout,+14692592250,,"150 Turtle Creek Blvd Dallas, TX 75207",Dallas,TX,75207,restaurant,vendors:yelp_USA
Curate,+12176793554,,"2930 Plaza Dr Springfield, IL 62704",Springfield,IL,62704,restaurant,vendors:yelp_USA
Cutters Crabhouse,(206) 448-4884,,2001 Western Ave,Seattle,WA,98121,restaurant,leads:yp_directory
D Z Akin's,(619) 265-0218,,6930 Alvarado Rd,San Diego,CA,92120,restaurant,leads:yp_directory
D'arcy's Pint,+12174928800,,"661 W Stanford Ave Springfield, IL 62704",Springfield,IL,62704,restaurant,vendors:yelp_USA
