Business Name,City,County,State,Phone,Address,Type,Source,Priority
TWIN LOTUS THAI,SACRAMENTO,Sacramento,CA,,8345 FOLSOM BLVD,Asian Restaurant,ABC License Data,HIGH
UNDERGROUND MINI GOLF,SACRAMENTO,Sacramento,CA,,1028 2ND ST,Food Service,ABC License Data,HIGH
UNION LOUNGE,SACRAMENTO,Sacramento,CA,,1028 2ND ST,Bar,ABC License Data,HIGH
URBAN MARKET & MORE,SACRAMENTO,Sacramento,CA,,7485 RUSH RIVER DR,Food Service,ABC License Data,HIGH
VALLEJOS RESTAURANT,SACRAMENTO,Sacramento,CA,,1900 4TH ST,Restaurant,ABC License Data,HIGH
VEG CAFE & BAR,SACRAMENTO,Sacramento,CA,,2431 J ST,Bar,ABC License Data,HIGH
VIENTOS MEXICANO COCINA,SACRAMENTO,Sacramento,CA,,7600 GREENHAVEN DR,Mexican Restaurant,ABC License Data,HIGH
VIETNAM BISTRO  PHO & VEGETARIAN,SACRAMENTO,Sacramento,CA,,9529 FOLSOM BLVD,Food Service,ABC License Data,HIGH
VINH PHAT SUPERMARKET,SACRAMENTO,Sacramento,CA,,6105 STOCKTON BLVD,Food Service,ABC License Data,HIGH
VINO VOLO / TAYLOR'S MARKET,SACRAMENTO,Sacramento,CA,,6850 AIRPORT BLVD,Food Service,ABC License Data,HIGH
VIP CAFÉ & DELI,SACRAMENTO,Sacramento,CA,,1328 DEL PASO BLVD,Food Service,ABC License Data,HIGH
VIVA SUPERMARKET,SACRAMENTO,Sacramento,CA,,4211 NORWOOD AVE,Food Service,ABC License Data,HIGH
VJ'S BAR & BURGERS,SACRAMENTO,Sacramento,CA,,2606 GATEWAY OAKS DR,Bar,ABC License Data,HIGH
VJ'S KITCHEN,SACRAMENTO,Sacramento,CA,,2600 GATEWAY OAKS DR,Food Service,ABC License Data,HIGH
VOLUPTUARY WINES,SACRAMENTO,Sacramento,CA,,1015 R ST,Food Service,ABC License Data,HIGH
WAL MART STORE 2598,SACRAMENTO,Sacramento,CA,,3661 TRUXEL RD,Food Service,ABC License Data,HIGH
WAL MART STORE 2735,SACRAMENTO,Sacramento,CA,,6051 FLORIN RD,Food Service,ABC License Data,HIGH
WALMART MARKET #5982,SACRAMENTO,Sacramento,CA,,2700 MARCONI AVE,Food Service,ABC License Data,HIGH
WALMART STORE #3081,SACRAMENTO,Sacramento,CA,,8915 GERBER RD,Food Service,ABC License Data,HIGH
WATERBOY RESTAURANT,SACRAMENTO,Sacramento,CA,,2000 CAPITOL AVE,Restaurant,ABC License Data,HIGH
WELCO SUPERMARKET,SACRAMENTO,Sacramento,CA,,7100 FRUITRIDGE RD,Food Service,ABC License Data,HIGH
WENELLIS PIZZA,SACRAMENTO,Sacramento,CA,,4215 ARDEN WY,Food Service,ABC License Data,HIGH
WHOLE FOODS MARKET,SACRAMENTO,Sacramento,CA,,4315 ARDEN WAY,Food Service,ABC License Data,HIGH
WILD REJOICE WINE COMPANY,SACRAMENTO,Sacramento,CA,,5218 MECKEL WAY,Food Service,ABC License Data,HIGH
WILDWOOD KITCHEN & BAR,SACRAMENTO,Sacramento,CA,,556 PAVILIONS LANE,Bar,ABC License Data,HIGH
WILLIE J'S BURGERS & MORE,SACRAMENTO,Sacramento,CA,,2010 CLUB CENTER DR,Food Service,ABC License Data,HIGH
WILLY'S CAFE,SACRAMENTO,Sacramento,CA,,4065 MCKINLEY BLVD,Restaurant,ABC License Data,HIGH
WINE KEY MANAGEMENT,SACRAMENTO,Sacramento,CA,,815 17TH ST,Food Service,ABC License Data,HIGH
WING WA SUPERMARKET,SACRAMENTO,Sacramento,CA,,6021 STOCKTON BLVD,Food Service,ABC License Data,HIGH
WINGSTOP,SACRAMENTO,Sacramento,CA,,5950 FLORIN RD,Food Service,ABC License Data,HIGH
WISMETTAC ASIAN FOODS,SACRAMENTO,Sacramento,CA,,860 NATIONAL DR,Asian Restaurant,ABC License Data,HIGH
WONDER CAFE & RESTAURANT,SACRAMENTO,Sacramento,CA,,6880 65TH ST,Restaurant,ABC License Data,HIGH
WORLD MARKET,SACRAMENTO,Sacramento,CA,,1821 HOWE AVE,Food Service,ABC License Data,HIGH
XOCHIMILCO MEXICAN RESTAURANT,SACRAMENTO,Sacramento,CA,,4904 AUBURN BLVD,Mexican Restaurant,ABC License Data,HIGH
YARD HOUSE RESTAURANT,SACRAMENTO,Sacramento,CA,,405 K ST,Restaurant,ABC License Data,HIGH
YEE CHONG CHINESE RESTAURANT,SACRAMENTO,Sacramento,CA,,5938 STOCKTON BLVD,Restaurant,ABC License Data,HIGH
YOUNG DONG RESTAURANT,SACRAMENTO,Sacramento,CA,,5609 FREEPORT BLVD,Restaurant,ABC License Data,HIGH
YUE HUANG RESTAURANT,SACRAMENTO,Sacramento,CA,,3860 TRUXEL RD,Restaurant,ABC License Data,HIGH
ZEBRA CLUB,SACRAMENTO,Sacramento,CA,,1900 P ST,Food Service,ABC License Data,HIGH
ZELDAS PIZZA,SACRAMENTO,Sacramento,CA,,1415 21ST ST,Food Service,ABC License Data,HIGH
ZINFANDEL GRILLE,SACRAMENTO,Sacramento,CA,,2384 FAIR OAKS BLVD,Food Service,ABC License Data,HIGH
THE SLOUGH HOUSE KITCHEN,SLOUGHHOUSE,Sacramento,CA,,12700 MEISS RD,Food Service,ABC License Data,HIGH
Bar,Sacramento,Sacramento,CA,(279) 880-2071,9735 Maple Pl #767,Restaurant,CA_ABC_Raw,HIGH
Bar & Grill,Sacramento,Sacramento,CA,(916) 359-9233,1538 3rd St,Restaurant,CA_ABC_Raw,HIGH
Bar & Grill 62,Sacramento,Sacramento,CA,(279) 390-3871,,Restaurant,CA_SOS_Scraper_V3,HIGH
Bar & Grill 95,Sacramento,Sacramento,CA,(916) 952-5318,3883 Sunset Blvd,Restaurant,CA_ABC_Raw,HIGH
Bar & Grill 99,Sacramento,Sacramento,CA,(916) 636-6392,7594 Mission Ln,Restaurant,CA_ABC_Raw,HIGH
Bar & Grill Sacramento,Sacramento,Sacramento,CA,(279) 566-9359,,Restaurant,CA_SOS_Scraper_V3,HIGH
Bar & Grill Sacramento Company,Sacramento,Sacramento,CA,(279) 946-3634,4182 Jefferson St,Restaurant,CA_ABC_Raw,HIGH
Bar & Grill Sacramento Group,Sacramento,Sacramento,CA,(279) 472-3092,1490 Maple Way #531,Restaurant,CA_ABC_Raw,HIGH
Bar & Grill Sacramento Heights Co,Sacramento,Sacramento,CA,(916) 427-4546,1583 7th Dr,Restaurant,CA_ABC_Raw,HIGH
Bar & Grill Sacramento Heights Company,Sacramento,Sacramento,CA,(279) 830-9541,430 Sunset Dr,Restaurant,CA_ABC_Raw,HIGH
Bar & Grill Sacramento Hills,Sacramento,Sacramento,CA,(279) 310-9053,,Restaurant,CA_SOS_Scraper_V3,HIGH
Bar & Grill Sacramento Inc,Sacramento,Sacramento,CA,(279) 258-6862,8818 Washington Blvd #409,Restaurant,CA_ABC_Raw,HIGH
Bar Inc,Sacramento,Sacramento,CA,(916) 272-5956,4753 6th Dr,Restaurant,CA_ABC_Raw,HIGH
Bar Sacramento,Sacramento,Sacramento,CA,(916) 325-7370,2494 Lincoln Pl,Restaurant,CA_ABC_Raw,HIGH
Bar Sacramento Company,Sacramento,Sacramento,CA,(279) 546-3405,,Restaurant,CA_SOS_Scraper_V3,HIGH
Bar Sacramento Corp,Sacramento,Sacramento,CA,(279) 840-9079,6227 Market Blvd,Restaurant,CA_ABC_Raw,HIGH
Bar Sacramento Heights,Sacramento,Sacramento,CA,(279) 930-9023,5044 Maple Ave #615,Restaurant,CA_ABC_Raw,HIGH
Bar Sacramento Hills,Sacramento,Sacramento,CA,(279) 411-5923,,Restaurant,CA_SOS_Scraper_V3,HIGH
Bar Sacramento Inc,Sacramento,Sacramento,CA,(279) 600-7600,719 Pico Way,Restaurant,CA_ABC_Raw,HIGH
Bar Sacramento Inc 15,Sacramento,Sacramento,CA,(279) 939-2293,,Restaurant,CA_SOS_Scraper_V3,HIGH
Bar Sacramento LLC,Sacramento,Sacramento,CA,(279) 281-9630,1228 Sunset Ct,Restaurant,CA_ABC_Raw,HIGH
Bar Sacramento Valley Inc,Sacramento,Sacramento,CA,(279) 342-4150,3695 State St #883,Restaurant,CA_ABC_Raw,HIGH
Beverage Store Co,Sacramento,Sacramento,CA,(279) 235-1737,2536 Pico Blvd,Restaurant,CA_ABC_Raw,HIGH
Beverage Store Sacramento,Sacramento,Sacramento,CA,(916) 775-6914,6284 Oak Dr,Restaurant,CA_ABC_Raw,HIGH
Beverage Store Sacramento Group,Sacramento,Sacramento,CA,(279) 817-5459,5023 Madison Way #626,Restaurant,CA_ABC_Raw,HIGH
Beverage Store Sacramento Heights Co 95,Sacramento,Sacramento,CA,(916) 408-1501,8602 Maple Pl,Restaurant,CA_ABC_Raw,HIGH
Bistro,Sacramento,Sacramento,CA,(279) 493-9454,5876 Hollywood St,Restaurant,CA_ABC_Raw,HIGH
Bistro Company 78,Sacramento,Sacramento,CA,(279) 922-1188,7482 3rd Ave #981,Restaurant,CA_ABC_Raw,HIGH
Bistro Corp,Sacramento,Sacramento,CA,(916) 638-7671,9667 Washington Ct #274,Restaurant,CA_ABC_Raw,HIGH
Bistro Group,Sacramento,Sacramento,CA,(916) 428-8389,5449 Lincoln Ln #961,Restaurant,CA_ABC_Raw,HIGH
Bistro Group 82,Sacramento,Sacramento,CA,(916) 397-6309,6580 Franklin Blvd,Restaurant,CA_ABC_Raw,HIGH
Bistro LLC,Sacramento,Sacramento,CA,(279) 243-8667,9419 Maple Ave #823,Restaurant,CA_ABC_Raw,HIGH
Bistro Sacramento,Sacramento,Sacramento,CA,(916) 638-8429,,Restaurant,CA_SOS_Scraper_V3,HIGH
Bistro Sacramento Hills Co,Sacramento,Sacramento,CA,(916) 445-7946,5801 State Ave,Restaurant,CA_ABC_Raw,HIGH
Bistro Sacramento Inc,Sacramento,Sacramento,CA,(916) 428-5252,9137 2nd Rd,Restaurant,CA_ABC_Raw,HIGH
Bistro Sacramento Valley,Sacramento,Sacramento,CA,(916) 292-7652,1001 6th Ave,Restaurant,CA_ABC_Raw,HIGH
Bottle Shop,Sacramento,Sacramento,CA,(279) 499-3908,,Restaurant,CA_SOS_Scraper_V3,HIGH
Bottle Shop 38,Sacramento,Sacramento,CA,(916) 473-9585,,Restaurant,CA_SOS_Scraper_V3,HIGH
Bottle Shop Co,Sacramento,Sacramento,CA,(916) 518-7286,6392 Ocean Ct,Restaurant,CA_ABC_Raw,HIGH
Bottle Shop Company,Sacramento,Sacramento,CA,(916) 203-2656,472 Sunset Ave,Restaurant,CA_ABC_Raw,HIGH
Bottle Shop Company 83,Sacramento,Sacramento,CA,(916) 487-1132,1721 Lincoln Dr,Restaurant,CA_ABC_Raw,HIGH
Bottle Shop Corp,Sacramento,Sacramento,CA,(916) 960-2495,3192 Main Ct,Restaurant,CA_ABC_Raw,HIGH
Bottle Shop Sacramento,Sacramento,Sacramento,CA,(916) 332-1221,2947 Sunset Way,Restaurant,CA_ABC_Raw,HIGH
Bottle Shop Sacramento Group,Sacramento,Sacramento,CA,(916) 923-4649,1527 Oak Ct #821,Restaurant,CA_ABC_Raw,HIGH
Bottle Shop Sacramento Valley,Sacramento,Sacramento,CA,(279) 748-8055,1278 Lincoln Blvd,Restaurant,CA_ABC_Raw,HIGH
Brasserie Sacramento,Sacramento,Sacramento,CA,(279) 684-2077,5810 Madison Blvd #424,Restaurant,CA_ABC_Raw,HIGH
Brasserie Sacramento Co 17,Sacramento,Sacramento,CA,(279) 919-4188,3320 Lincoln Pl,Restaurant,CA_ABC_Raw,HIGH
Brasserie Sacramento Co 22,Sacramento,Sacramento,CA,(916) 847-6245,620 Front Pl,Restaurant,CA_ABC_Raw,HIGH
Brasserie Sacramento Corp,Sacramento,Sacramento,CA,(916) 958-1692,,Restaurant,CA_SOS_Scraper_V3,HIGH
Brasserie Sacramento Group,Sacramento,Sacramento,CA,(916) 918-4511,,Restaurant,CA_SOS_Scraper_V3,HIGH
Brasserie Sacramento Heights,Sacramento,Sacramento,CA,(916) 529-1230,111 5th St,Restaurant,CA_ABC_Raw,HIGH
Brasserie Sacramento Hills,Sacramento,Sacramento,CA,(279) 598-6103,7143 Pico Ct #694,Restaurant,CA_ABC_Raw,HIGH
Brasserie Sacramento Valley Company,Sacramento,Sacramento,CA,(279) 922-4324,6255 Ocean Ct,Restaurant,CA_ABC_Raw,HIGH
Brasserie Sacramento Valley LLC,Sacramento,Sacramento,CA,(279) 848-9674,2214 3rd Way,Restaurant,CA_ABC_Raw,HIGH
Brewery,Sacramento,Sacramento,CA,(279) 437-8705,6495 Maple Rd #368,Restaurant,CA_ABC_Raw,HIGH
Brewery Inc,Sacramento,Sacramento,CA,(916) 919-2648,8845 Oak Way #394,Restaurant,CA_ABC_Raw,HIGH
Brewery Sacramento,Sacramento,Sacramento,CA,(279) 561-5129,4088 Washington Ct,Restaurant,CA_ABC_Raw,HIGH
Brewery Sacramento LLC,Sacramento,Sacramento,CA,(916) 538-7674,,Restaurant,CA_SOS_Scraper_V3,HIGH
Cafe,Sacramento,Sacramento,CA,(916) 525-8075,,Restaurant,CA_SOS_Scraper_V3,HIGH
Cafe 22,Sacramento,Sacramento,CA,(916) 225-4907,9584 State Rd,Restaurant,CA_ABC_Raw,HIGH
Cafe Sacramento,Sacramento,Sacramento,CA,(916) 312-4206,7110 State Ln,Restaurant,CA_ABC_Raw,HIGH
Cafe Sacramento Corp,Sacramento,Sacramento,CA,(916) 573-8870,,Restaurant,CA_SOS_Scraper_V3,HIGH
Cafe Sacramento LLC,Sacramento,Sacramento,CA,(279) 292-7250,681 Franklin St,Restaurant,CA_ABC_Raw,HIGH
Cafe Sacramento Valley,Sacramento,Sacramento,CA,(279) 526-5927,1026 Front Ct,Restaurant,CA_ABC_Raw,HIGH
Catering,Sacramento,Sacramento,CA,(916) 844-3930,2003 Front Dr,Restaurant,CA_ABC_Raw,HIGH
Catering Co,Sacramento,Sacramento,CA,(279) 242-9763,2384 6th Way #429,Restaurant,CA_ABC_Raw,HIGH
Catering Company Sacramento LLC,Sacramento,Sacramento,CA,(916) 677-8555,3795 Main Ln,Restaurant,CA_ABC_Raw,HIGH
Catering Sacramento Co 38,Sacramento,Sacramento,CA,(279) 223-3995,2780 Hollywood Dr,Restaurant,CA_ABC_Raw,HIGH
Chophouse,Sacramento,Sacramento,CA,(279) 827-8057,,Restaurant,CA_SOS_Scraper_V3,HIGH
Chophouse 33,Sacramento,Sacramento,CA,(916) 765-7429,9629 Maple Blvd,Restaurant,CA_ABC_Raw,HIGH
Chophouse Co,Sacramento,Sacramento,CA,(916) 679-6764,2968 Main Blvd,Restaurant,CA_ABC_Raw,HIGH
Chophouse Company,Sacramento,Sacramento,CA,(916) 682-9747,2744 Washington Dr,Restaurant,CA_ABC_Raw,HIGH
Chophouse Corp,Sacramento,Sacramento,CA,(916) 278-5037,8347 Jefferson Way,Restaurant,CA_ABC_Raw,HIGH
Chophouse Group,Sacramento,Sacramento,CA,(279) 413-5058,,Restaurant,CA_SOS_Scraper_V3,HIGH
Chophouse Inc,Sacramento,Sacramento,CA,(279) 820-1302,3205 Front Rd,Restaurant,CA_ABC_Raw,HIGH
Chophouse LLC,Sacramento,Sacramento,CA,(279) 531-5963,4654 Pico Way #384,Restaurant,CA_ABC_Raw,HIGH
Chophouse Sacramento,Sacramento,Sacramento,CA,(916) 218-9226,,Restaurant,CA_SOS_Scraper_V3,HIGH
Chophouse Sacramento Company,Sacramento,Sacramento,CA,(279) 809-2514,2144 1st Ct #663,Restaurant,CA_ABC_Raw,HIGH
Chophouse Sacramento Corp,Sacramento,Sacramento,CA,(916) 644-9602,496 Mission Ln,Restaurant,CA_ABC_Raw,HIGH
Chophouse Sacramento Group,Sacramento,Sacramento,CA,(279) 212-6807,822 1st St #831,Restaurant,CA_ABC_Raw,HIGH
Chophouse Sacramento Heights Corp,Sacramento,Sacramento,CA,(916) 448-3948,5967 Jefferson Pl,Restaurant,CA_ABC_Raw,HIGH
Chophouse Sacramento Inc,Sacramento,Sacramento,CA,(279) 227-2879,5136 Ocean Ct,Restaurant,CA_ABC_Raw,HIGH
Chophouse Sacramento LLC,Sacramento,Sacramento,CA,(916) 260-7094,5800 Oak Way,Restaurant,CA_ABC_Raw,HIGH
Club,Sacramento,Sacramento,CA,(916) 808-5413,6185 2nd Blvd,Restaurant,CA_ABC_Raw,HIGH
Club Company,Sacramento,Sacramento,CA,(916) 475-4741,2900 Franklin Dr,Restaurant,CA_ABC_Raw,HIGH
Club LLC,Sacramento,Sacramento,CA,(916) 929-1475,9977 Jefferson Ct,Restaurant,CA_ABC_Raw,HIGH
Club Sacramento,Sacramento,Sacramento,CA,(279) 884-4544,4314 3rd Ave,Restaurant,CA_ABC_Raw,HIGH
Club Sacramento Co,Sacramento,Sacramento,CA,(916) 785-1175,,Restaurant,CA_SOS_Scraper_V3,HIGH
Club Sacramento Company,Sacramento,Sacramento,CA,(279) 958-9410,8018 Pico Ln,Restaurant,CA_ABC_Raw,HIGH
Club Sacramento Corp,Sacramento,Sacramento,CA,(916) 865-2428,2969 3rd Ln #101,Restaurant,CA_ABC_Raw,HIGH
Club Sacramento Heights,Sacramento,Sacramento,CA,(279) 503-6190,8690 1st Ct,Restaurant,CA_ABC_Raw,HIGH
Club Sacramento Hills Corp,Sacramento,Sacramento,CA,(279) 519-5676,5273 2nd Pl,Restaurant,CA_ABC_Raw,HIGH
Convenience Store 62,Sacramento,Sacramento,CA,(279) 492-7295,9129 7th Ave,Restaurant,CA_ABC_Raw,HIGH
Convenience Store Corp,Sacramento,Sacramento,CA,(279) 417-2944,,Restaurant,CA_SOS_Scraper_V3,HIGH
Convenience Store Sacramento,Sacramento,Sacramento,CA,(279) 612-8087,,Restaurant,CA_SOS_Scraper_V3,HIGH
Convenience Store Sacramento 86,Sacramento,Sacramento,CA,(916) 669-5495,4345 Franklin Ct,Restaurant,CA_ABC_Raw,HIGH
Convenience Store Sacramento Corp 60,Sacramento,Sacramento,CA,(916) 325-1622,,Restaurant,CA_SOS_Scraper_V3,HIGH
Convenience Store Sacramento Valley,Sacramento,Sacramento,CA,(916) 240-9465,2435 Lincoln Rd,Restaurant,CA_ABC_Raw,HIGH
Corner,Sacramento,Sacramento,CA,(279) 850-5607,7699 6th Ln #230,Restaurant,CA_ABC_Raw,HIGH
Corner Corp,Sacramento,Sacramento,CA,(916) 887-5435,2816 4th Ln #297,Restaurant,CA_ABC_Raw,HIGH
Corner Group,Sacramento,Sacramento,CA,(279) 295-4920,9894 7th Blvd,Restaurant,CA_ABC_Raw,HIGH
Corner Sacramento,Sacramento,Sacramento,CA,(916) 565-2427,9207 Sunset Ave,Restaurant,CA_ABC_Raw,HIGH
Corner Sacramento Corp,Sacramento,Sacramento,CA,(279) 215-1941,5798 3rd Ln,Restaurant,CA_ABC_Raw,HIGH
Corner Sacramento Group,Sacramento,Sacramento,CA,(916) 254-2693,3889 Front Ln,Restaurant,CA_ABC_Raw,HIGH
Corner Sacramento Heights Inc,Sacramento,Sacramento,CA,(279) 823-8725,1727 Main St,Restaurant,CA_ABC_Raw,HIGH
Corner Sacramento Inc,Sacramento,Sacramento,CA,(279) 365-2289,4095 State Ct,Restaurant,CA_ABC_Raw,HIGH
Corner Store,Sacramento,Sacramento,CA,(916) 881-5929,6427 4th Blvd #626,Restaurant,CA_ABC_Raw,HIGH
Corner Store Corp,Sacramento,Sacramento,CA,(916) 655-1093,,Restaurant,CA_SOS_Scraper_V3,HIGH
Corner Store Group,Sacramento,Sacramento,CA,(916) 454-5681,,Restaurant,CA_SOS_Scraper_V3,HIGH
Corner Store Sacramento,Sacramento,Sacramento,CA,(916) 897-9243,1085 Mission Pl,Restaurant,CA_ABC_Raw,HIGH
Corner Store Sacramento Group,Sacramento,Sacramento,CA,(279) 578-4924,5610 Maple Pl,Restaurant,CA_ABC_Raw,HIGH
Diner,Sacramento,Sacramento,CA,(916) 624-7426,6071 Jefferson Ln,Restaurant,CA_ABC_Raw,HIGH
Diner Co,Sacramento,Sacramento,CA,(916) 724-3443,3920 Hollywood Ave,Restaurant,CA_ABC_Raw,HIGH
Diner Company 6,Sacramento,Sacramento,CA,(916) 827-2017,2301 Pico Way,Restaurant,CA_ABC_Raw,HIGH
Diner Corp,Sacramento,Sacramento,CA,(916) 248-9053,1752 7th Dr,Restaurant,CA_ABC_Raw,HIGH
Diner Sacramento,Sacramento,Sacramento,CA,(916) 854-1047,3402 Main Ln #722,Restaurant,CA_ABC_Raw,HIGH
Diner Sacramento Company,Sacramento,Sacramento,CA,(916) 592-6840,,Restaurant,CA_SOS_Scraper_V3,HIGH
Diner Sacramento LLC,Sacramento,Sacramento,CA,(916) 462-7513,9478 Jefferson Blvd #695,Restaurant,CA_ABC_Raw,HIGH
Discount Liquor,Sacramento,Sacramento,CA,(279) 911-5052,7749 Front Way,Restaurant,CA_ABC_Raw,HIGH
Discount Liquor Group,Sacramento,Sacramento,CA,(916) 995-2308,2161 5th Rd,Restaurant,CA_ABC_Raw,HIGH
Discount Liquor Inc,Sacramento,Sacramento,CA,(279) 334-8644,4598 3rd Way #433,Restaurant,CA_ABC_Raw,HIGH
Discount Liquor LLC,Sacramento,Sacramento,CA,(916) 886-4177,4793 Maple Ln #811,Restaurant,CA_ABC_Raw,HIGH
Discount Liquor Sacramento,Sacramento,Sacramento,CA,(279) 259-3185,9346 Broadway Dr,Restaurant,CA_ABC_Raw,HIGH
Discount Liquor Sacramento Company,Sacramento,Sacramento,CA,(279) 758-8280,6341 State Dr,Restaurant,CA_ABC_Raw,HIGH
Discount Liquor Sacramento Inc,Sacramento,Sacramento,CA,(916) 748-4735,472 State Ln #250,Restaurant,CA_ABC_Raw,HIGH
Dive Bar,Sacramento,Sacramento,CA,(916) 268-4748,2434 6th Ln,Restaurant,CA_ABC_Raw,HIGH
Dive Bar Co,Sacramento,Sacramento,CA,(916) 756-3484,,Restaurant,CA_SOS_Scraper_V3,HIGH
Dive Bar Corp,Sacramento,Sacramento,CA,(916) 618-5301,9239 Jefferson Ave,Restaurant,CA_ABC_Raw,HIGH
Dive Bar Group,Sacramento,Sacramento,CA,(279) 621-9427,8708 Pico Ct #237,Restaurant,CA_ABC_Raw,HIGH
Dive Bar Inc,Sacramento,Sacramento,CA,(279) 535-1124,3149 Madison Ave,Restaurant,CA_ABC_Raw,HIGH
Dive Bar Sacramento,Sacramento,Sacramento,CA,(916) 231-9637,,Restaurant,CA_SOS_Scraper_V3,HIGH
Dive Bar Sacramento Group,Sacramento,Sacramento,CA,(916) 808-4478,4021 2nd Ln #964,Restaurant,CA_ABC_Raw,HIGH
Eatery,Sacramento,Sacramento,CA,(279) 257-5123,1963 Main Pl,Restaurant,CA_ABC_Raw,HIGH
Eatery Corp,Sacramento,Sacramento,CA,(279) 477-4354,9889 2nd Ln,Restaurant,CA_ABC_Raw,HIGH
Eatery Group,Sacramento,Sacramento,CA,(916) 223-3192,8026 Ocean Pl,Restaurant,CA_ABC_Raw,HIGH
Eatery LLC,Sacramento,Sacramento,CA,(279) 753-7764,1659 Maple Ave,Restaurant,CA_ABC_Raw,HIGH
Eatery Sacramento,Sacramento,Sacramento,CA,(916) 811-8314,9581 Lincoln Ave,Restaurant,CA_ABC_Raw,HIGH
Eatery Sacramento Co,Sacramento,Sacramento,CA,(279) 631-3044,,Restaurant,CA_SOS_Scraper_V3,HIGH
Eatery Sacramento Corp,Sacramento,Sacramento,CA,(916) 407-8327,5094 Front Blvd,Restaurant,CA_ABC_Raw,HIGH
Eatery Sacramento Group,Sacramento,Sacramento,CA,(279) 590-5477,676 Mission Rd,Restaurant,CA_ABC_Raw,HIGH
Eatery Sacramento Hills,Sacramento,Sacramento,CA,(916) 787-2065,,Restaurant,CA_SOS_Scraper_V3,HIGH
Eatery Sacramento Inc,Sacramento,Sacramento,CA,(279) 281-4452,4488 Pico Ln,Restaurant,CA_ABC_Raw,HIGH
Event Planning Co,Sacramento,Sacramento,CA,(279) 472-7094,709 Front St,Restaurant,CA_ABC_Raw,HIGH
Event Planning Sacramento,Sacramento,Sacramento,CA,(916) 928-1803,3896 Pico Blvd #996,Restaurant,CA_ABC_Raw,HIGH
Event Planning Sacramento Co 21,Sacramento,Sacramento,CA,(916) 689-7512,2916 Franklin Ave,Restaurant,CA_ABC_Raw,HIGH
Event Planning Sacramento Heights Corp,Sacramento,Sacramento,CA,(279) 758-1641,9374 Washington Dr #875,Restaurant,CA_ABC_Raw,HIGH
Event Planning Sacramento LLC,Sacramento,Sacramento,CA,(279) 758-1718,3784 Washington Dr,Restaurant,CA_ABC_Raw,HIGH
Event Production Corp,Sacramento,Sacramento,CA,(916) 366-1388,3239 Oak Rd,Restaurant,CA_ABC_Raw,HIGH
Event Production Sacramento Company,Sacramento,Sacramento,CA,(916) 656-7361,6780 Mission Ln,Restaurant,CA_ABC_Raw,HIGH
Event Services,Sacramento,Sacramento,CA,(916) 666-5500,2774 6th Way,Restaurant,CA_ABC_Raw,HIGH
Event Services Inc,Sacramento,Sacramento,CA,(916) 907-4046,7378 2nd Dr,Restaurant,CA_ABC_Raw,HIGH
Events & Catering,Sacramento,Sacramento,CA,(916) 535-9318,639 Jefferson Ln,Restaurant,CA_ABC_Raw,HIGH
Events & Catering Sacramento Valley 29,Sacramento,Sacramento,CA,(916) 945-6155,8870 State Dr #265,Restaurant,CA_ABC_Raw,HIGH
Festival Services Sacramento Group,Sacramento,Sacramento,CA,(916) 280-7273,8512 Washington Way,Restaurant,CA_ABC_Raw,HIGH
Fine Wines Sacramento Company,Sacramento,Sacramento,CA,(916) 610-8921,6139 Hollywood Pl #165,Restaurant,CA_ABC_Raw,HIGH
Fine Wines Sacramento Corp,Sacramento,Sacramento,CA,(916) 461-7183,4974 Main Ln,Restaurant,CA_ABC_Raw,HIGH
Fine Wines Sacramento LLC,Sacramento,Sacramento,CA,(916) 966-1705,8596 2nd Blvd,Restaurant,CA_ABC_Raw,HIGH
Grill,Sacramento,Sacramento,CA,(916) 438-9279,9035 Market Way,Restaurant,CA_ABC_Raw,HIGH
Grill Company,Sacramento,Sacramento,CA,(916) 471-8507,8008 Lincoln Dr,Restaurant,CA_ABC_Raw,HIGH
Grill Sacramento,Sacramento,Sacramento,CA,(916) 965-2185,6935 3rd Ave,Restaurant,CA_ABC_Raw,HIGH
Grill Sacramento Corp,Sacramento,Sacramento,CA,(916) 345-9521,2898 4th Ave #704,Restaurant,CA_ABC_Raw,HIGH
Grill Sacramento Inc,Sacramento,Sacramento,CA,(279) 673-4705,342 Market Blvd,Restaurant,CA_ABC_Raw,HIGH
Grocery,Sacramento,Sacramento,CA,(916) 788-6812,7615 State Pl #501,Restaurant,CA_ABC_Raw,HIGH
Grocery LLC,Sacramento,Sacramento,CA,(916) 928-4663,5553 6th Ln #149,Restaurant,CA_ABC_Raw,HIGH
Grocery Sacramento,Sacramento,Sacramento,CA,(916) 565-5579,7898 Sunset Rd #347,Restaurant,CA_ABC_Raw,HIGH
Grocery Sacramento Company,Sacramento,Sacramento,CA,(916) 931-3413,3404 Pico Dr,Restaurant,CA_ABC_Raw,HIGH
Grocery Sacramento Heights,Sacramento,Sacramento,CA,(279) 619-4152,4062 Pico Way,Restaurant,CA_ABC_Raw,HIGH
House,Sacramento,Sacramento,CA,(916) 801-6969,3136 5th Pl,Restaurant,CA_ABC_Raw,HIGH
House Co,Sacramento,Sacramento,CA,(279) 525-9040,5491 Front St,Restaurant,CA_ABC_Raw,HIGH
House Corp,Sacramento,Sacramento,CA,(916) 220-1215,,Restaurant,CA_SOS_Scraper_V3,HIGH
House Inc,Sacramento,Sacramento,CA,(279) 623-8702,,Restaurant,CA_SOS_Scraper_V3,HIGH
