Business Name,City,County,State,Phone,Address,Business Type,Source,Chain Status
Bistro Co,Elk Grove,Sacramento,CA,(916) 216-3783,455 Hollywood Rd,Restaurant,CA_ABC_Raw,INDEPENDENT
Bistro Company,Elk Grove,Sacramento,CA,(916) 400-9915,5938 Market Way,Restaurant,CA_ABC_Raw,INDEPENDENT
Bistro Corp,Elk Grove,Sacramento,CA,(916) 433-2459,,Restaurant,CA_SOS_Scraper_V3,INDEPENDENT
Bistro Corp 56,Elk Grove,Sacramento,CA,(916) 823-9510,3987 4th Ct,Restaurant,CA_ABC_Raw,INDEPENDENT
Bistro Elk Grove,Elk Grove,Sacramento,CA,(916) 631-8783,,Restaurant,CA_SOS_Scraper_V3,INDEPENDENT
Bistro Elk Grove Co,Elk Grove,Sacramento,CA,(916) 780-9725,3169 7th Blvd,Restaurant,CA_ABC_Raw,INDEPENDENT
Bistro Elk Grove Heights Company 42,Elk Grove,Sacramento,CA,(916) 856-9939,,Restaurant,CA_SOS_Scraper_V3,INDEPENDENT
Bistro Elk Grove Hills Company,Elk Grove,Sacramento,CA,(279) 550-3114,9906 Washington Dr,Restaurant,CA_ABC_Raw,INDEPENDENT
Bistro Elk Grove Valley Co,Elk Grove,Sacramento,CA,(916) 736-9553,5616 Jefferson Rd #226,Restaurant,CA_ABC_Raw,INDEPENDENT
Bistro Elk Grove Valley LLC,Elk Grove,Sacramento,CA,(916) 512-8322,4782 1st Blvd,Restaurant,CA_ABC_Raw,INDEPENDENT
Bistro Group,Elk Grove,Sacramento,CA,(279) 397-3328,5865 Hollywood Ct,Restaurant,CA_ABC_Raw,INDEPENDENT
Bistro Inc,Elk Grove,Sacramento,CA,(279) 350-9962,2471 5th Ln,Restaurant,CA_ABC_Raw,INDEPENDENT
Bistro LLC,Elk Grove,Sacramento,CA,(279) 437-1602,996 5th Rd #620,Restaurant,CA_ABC_Raw,INDEPENDENT
Bistro Sacramento,Elk Grove,Sacramento,CA,(916) 297-4386,1967 Ocean Rd,Restaurant,CA_ABC_Raw,INDEPENDENT
Bistro Sacramento Group,Elk Grove,Sacramento,CA,(279) 908-6203,8916 Oak St,Restaurant,CA_ABC_Raw,INDEPENDENT
Bistro Sacramento Inc,Elk Grove,Sacramento,CA,(916) 844-2301,9952 State St,Restaurant,CA_ABC_Raw,INDEPENDENT
Bistro Sacramento LLC,Elk Grove,Sacramento,CA,(916) 428-2769,8219 Sunset Blvd #733,Restaurant,CA_ABC_Raw,INDEPENDENT
Bottle Shop,Elk Grove,Sacramento,CA,(916) 307-6293,9085 Hollywood Ave #473,Restaurant,CA_ABC_Raw,INDEPENDENT
Bottle Shop Elk Grove,Elk Grove,Sacramento,CA,(279) 606-9384,6027 Main St #347,Restaurant,CA_ABC_Raw,INDEPENDENT
Bottle Shop Elk Grove Valley,Elk Grove,Sacramento,CA,(279) 537-9142,6620 Sunset Ln,Restaurant,CA_ABC_Raw,INDEPENDENT
Bottle Shop Inc,Elk Grove,Sacramento,CA,(916) 284-5798,4620 Market Rd #817,Restaurant,CA_ABC_Raw,INDEPENDENT
Brasserie,Elk Grove,Sacramento,CA,(279) 642-4377,2667 Sunset St,Restaurant,CA_ABC_Raw,INDEPENDENT
Brasserie 50,Elk Grove,Sacramento,CA,(279) 956-2709,,Restaurant,CA_SOS_Scraper_V3,INDEPENDENT
Brasserie Co,Elk Grove,Sacramento,CA,(279) 425-5645,2957 Broadway St,Restaurant,CA_ABC_Raw,INDEPENDENT
Brasserie Company,Elk Grove,Sacramento,CA,(916) 308-3073,1490 Wilshire Pl,Restaurant,CA_ABC_Raw,INDEPENDENT
Brasserie Elk Grove,Elk Grove,Sacramento,CA,(916) 404-9630,,Restaurant,CA_SOS_Scraper_V3,INDEPENDENT
Brasserie Elk Grove Hills,Elk Grove,Sacramento,CA,(916) 709-8363,,Restaurant,CA_SOS_Scraper_V3,INDEPENDENT
Brasserie Elk Grove Inc,Elk Grove,Sacramento,CA,(279) 423-6093,,Restaurant,CA_SOS_Scraper_V3,INDEPENDENT
Brasserie Group,Elk Grove,Sacramento,CA,(916) 562-7530,7375 State Blvd #591,Restaurant,CA_ABC_Raw,INDEPENDENT
Brasserie Sacramento,Elk Grove,Sacramento,CA,(916) 499-8814,,Restaurant,CA_SOS_Scraper_V3,INDEPENDENT
Brewery,Elk Grove,Sacramento,CA,(916) 335-6040,,Restaurant,CA_SOS_Scraper_V3,INDEPENDENT
Brewery Elk Grove,Elk Grove,Sacramento,CA,(279) 437-3982,4832 Front Ct,Restaurant,CA_ABC_Raw,INDEPENDENT
Brewery Elk Grove Inc,Elk Grove,Sacramento,CA,(279) 225-4652,6557 Broadway Ave,Restaurant,CA_ABC_Raw,INDEPENDENT
Brewery Inc,Elk Grove,Sacramento,CA,(279) 883-9429,7130 Hollywood Blvd,Restaurant,CA_ABC_Raw,INDEPENDENT
Brewery LLC,Elk Grove,Sacramento,CA,(279) 550-1577,9081 Oak Rd #293,Restaurant,CA_ABC_Raw,INDEPENDENT
Cafe,Elk Grove,Sacramento,CA,(916) 500-5713,,Restaurant,CA_SOS_Scraper_V3,INDEPENDENT
Cafe Elk Grove,Elk Grove,Sacramento,CA,(279) 971-3373,2367 Washington Ave,Restaurant,CA_ABC_Raw,INDEPENDENT
Cafe Elk Grove Co,Elk Grove,Sacramento,CA,(916) 498-5511,9724 Lincoln Ln,Restaurant,CA_ABC_Raw,INDEPENDENT
Cafe Elk Grove Hills Company 24,Elk Grove,Sacramento,CA,(916) 391-3054,1115 Wilshire Blvd,Restaurant,CA_ABC_Raw,INDEPENDENT
Cafe Elk Grove Valley,Elk Grove,Sacramento,CA,(916) 898-5723,3239 7th Blvd #125,Restaurant,CA_ABC_Raw,INDEPENDENT
Cafe Elk Grove Valley Corp,Elk Grove,Sacramento,CA,(916) 831-6796,9338 Market Ave #735,Restaurant,CA_ABC_Raw,INDEPENDENT
Cafe Sacramento,Elk Grove,Sacramento,CA,(916) 668-4049,344 Market Dr,Restaurant,CA_ABC_Raw,INDEPENDENT
Cafe Sacramento Inc,Elk Grove,Sacramento,CA,(279) 538-9489,4160 Pico Dr,Restaurant,CA_ABC_Raw,INDEPENDENT
Cafe Sacramento LLC,Elk Grove,Sacramento,CA,(279) 311-8808,,Restaurant,CA_SOS_Scraper_V3,INDEPENDENT
Catering,Elk Grove,Sacramento,CA,(916) 899-5041,4132 Maple Ln,Restaurant,CA_ABC_Raw,INDEPENDENT
Catering Company,Elk Grove,Sacramento,CA,(916) 464-6190,,Restaurant,CA_SOS_Scraper_V3,INDEPENDENT
Catering Company Elk Grove,Elk Grove,Sacramento,CA,(916) 493-7188,4342 2nd St #869,Restaurant,CA_ABC_Raw,INDEPENDENT
Catering Elk Grove Company,Elk Grove,Sacramento,CA,(279) 956-6355,9733 Pico Blvd,Restaurant,CA_ABC_Raw,INDEPENDENT
Catering Elk Grove Heights Group,Elk Grove,Sacramento,CA,(916) 902-8817,4055 Franklin Ct #829,Restaurant,CA_ABC_Raw,INDEPENDENT
Catering Elk Grove Valley,Elk Grove,Sacramento,CA,(916) 619-1996,9398 7th St,Restaurant,CA_ABC_Raw,INDEPENDENT
Catering Sacramento,Elk Grove,Sacramento,CA,(916) 389-8701,263 4th Rd,Restaurant,CA_ABC_Raw,INDEPENDENT
Chophouse,Elk Grove,Sacramento,CA,(279) 355-4785,,Restaurant,CA_SOS_Scraper_V3,INDEPENDENT
Chophouse 11,Elk Grove,Sacramento,CA,(916) 207-6644,5982 Franklin Ln,Restaurant,CA_ABC_Raw,INDEPENDENT
Chophouse Co,Elk Grove,Sacramento,CA,(279) 640-9669,2718 Oak Way,Restaurant,CA_ABC_Raw,INDEPENDENT
Chophouse Elk Grove,Elk Grove,Sacramento,CA,(279) 953-9687,8881 Jefferson Dr #817,Restaurant,CA_ABC_Raw,INDEPENDENT
Chophouse Elk Grove Corp,Elk Grove,Sacramento,CA,(279) 979-5691,5833 State Pl,Restaurant,CA_ABC_Raw,INDEPENDENT
Chophouse Elk Grove Heights Company,Elk Grove,Sacramento,CA,(916) 863-3325,1725 State Ln,Restaurant,CA_ABC_Raw,INDEPENDENT
Chophouse Elk Grove Hills 51,Elk Grove,Sacramento,CA,(916) 510-8726,5329 Front Blvd,Restaurant,CA_ABC_Raw,INDEPENDENT
Chophouse Elk Grove Hills Corp 70,Elk Grove,Sacramento,CA,(279) 791-3038,9504 1st Dr,Restaurant,CA_ABC_Raw,INDEPENDENT
Chophouse Elk Grove Inc,Elk Grove,Sacramento,CA,(916) 290-9046,8998 Mission Rd,Restaurant,CA_ABC_Raw,INDEPENDENT
Chophouse Elk Grove Valley Company,Elk Grove,Sacramento,CA,(279) 453-3540,1825 Hollywood Ct,Restaurant,CA_ABC_Raw,INDEPENDENT
Chophouse Group,Elk Grove,Sacramento,CA,(916) 452-3019,1996 6th Pl,Restaurant,CA_ABC_Raw,INDEPENDENT
Chophouse Inc,Elk Grove,Sacramento,CA,(279) 783-1943,,Restaurant,CA_SOS_Scraper_V3,INDEPENDENT
Chophouse LLC,Elk Grove,Sacramento,CA,(916) 825-7585,7453 Franklin Blvd #289,Restaurant,CA_ABC_Raw,INDEPENDENT
Chophouse Sacramento,Elk Grove,Sacramento,CA,(916) 521-3581,1788 Franklin Pl,Restaurant,CA_ABC_Raw,INDEPENDENT
Chophouse Sacramento LLC 64,Elk Grove,Sacramento,CA,(916) 708-8192,8340 7th Pl,Restaurant,CA_ABC_Raw,INDEPENDENT
Club,Elk Grove,Sacramento,CA,(916) 804-1871,3911 7th Ln,Restaurant,CA_ABC_Raw,INDEPENDENT
Club 41,Elk Grove,Sacramento,CA,(916) 310-7143,,Restaurant,CA_SOS_Scraper_V3,INDEPENDENT
Club Co,Elk Grove,Sacramento,CA,(916) 388-9380,8028 Front Blvd,Restaurant,CA_ABC_Raw,INDEPENDENT
Club Company 39,Elk Grove,Sacramento,CA,(279) 759-8555,8617 Wilshire Blvd #573,Restaurant,CA_ABC_Raw,INDEPENDENT
Club Corp,Elk Grove,Sacramento,CA,(279) 260-1881,,Restaurant,CA_SOS_Scraper_V3,INDEPENDENT
Club Elk Grove,Elk Grove,Sacramento,CA,(916) 688-1638,7115 Lincoln Way,Restaurant,CA_ABC_Raw,INDEPENDENT
Club Elk Grove Group,Elk Grove,Sacramento,CA,(279) 386-1417,5061 Lincoln Blvd,Restaurant,CA_ABC_Raw,INDEPENDENT
Club Sacramento,Elk Grove,Sacramento,CA,(916) 966-4611,,Restaurant,CA_SOS_Scraper_V3,INDEPENDENT
Club Sacramento LLC,Elk Grove,Sacramento,CA,(279) 437-5714,6163 Lincoln Pl,Restaurant,CA_ABC_Raw,INDEPENDENT
Convenience Store Company,Elk Grove,Sacramento,CA,(279) 290-6633,6238 5th Rd #456,Restaurant,CA_ABC_Raw,INDEPENDENT
Convenience Store Elk Grove Co,Elk Grove,Sacramento,CA,(279) 948-7416,7176 Jefferson Ct,Restaurant,CA_ABC_Raw,INDEPENDENT
Convenience Store Sacramento LLC,Elk Grove,Sacramento,CA,(916) 756-3171,2200 Broadway Dr,Restaurant,CA_ABC_Raw,INDEPENDENT
Corner,Elk Grove,Sacramento,CA,(916) 710-5270,4306 Jefferson Ct,Restaurant,CA_ABC_Raw,INDEPENDENT
Corner Company,Elk Grove,Sacramento,CA,(916) 465-3356,9692 3rd Ln,Restaurant,CA_ABC_Raw,INDEPENDENT
Corner Corp,Elk Grove,Sacramento,CA,(916) 539-3279,1636 Wilshire Dr,Restaurant,CA_ABC_Raw,INDEPENDENT
Corner Elk Grove,Elk Grove,Sacramento,CA,(279) 581-5917,5668 Sunset Ct #290,Restaurant,CA_ABC_Raw,INDEPENDENT
Corner Elk Grove 48,Elk Grove,Sacramento,CA,(279) 632-1710,7141 1st St,Restaurant,CA_ABC_Raw,INDEPENDENT
Corner Elk Grove Corp,Elk Grove,Sacramento,CA,(279) 474-1531,7855 Oak Ct,Restaurant,CA_ABC_Raw,INDEPENDENT
Corner LLC,Elk Grove,Sacramento,CA,(279) 347-3631,6542 Hollywood St,Restaurant,CA_ABC_Raw,INDEPENDENT
Corner Store,Elk Grove,Sacramento,CA,(279) 884-9088,3207 Pico Rd #341,Restaurant,CA_ABC_Raw,INDEPENDENT
Corner Store 63,Elk Grove,Sacramento,CA,(916) 956-6046,404 Franklin Dr,Restaurant,CA_ABC_Raw,INDEPENDENT
Corner Store Corp,Elk Grove,Sacramento,CA,(916) 203-4682,4036 Oak Ln #887,Restaurant,CA_ABC_Raw,INDEPENDENT
Corner Store Elk Grove,Elk Grove,Sacramento,CA,(279) 707-6721,7358 Pico Ln,Restaurant,CA_ABC_Raw,INDEPENDENT
Corner Store Sacramento Corp,Elk Grove,Sacramento,CA,(916) 660-2470,4113 3rd Blvd,Restaurant,CA_ABC_Raw,INDEPENDENT
Diner,Elk Grove,Sacramento,CA,(916) 529-7123,,Restaurant,CA_SOS_Scraper_V3,INDEPENDENT
Diner 30,Elk Grove,Sacramento,CA,(279) 925-5462,3959 Mission St,Restaurant,CA_ABC_Raw,INDEPENDENT
Diner 35,Elk Grove,Sacramento,CA,(916) 592-3968,8122 Broadway Ct #345,Restaurant,CA_ABC_Raw,INDEPENDENT
Diner Co,Elk Grove,Sacramento,CA,(279) 371-1646,7400 1st Ct,Restaurant,CA_ABC_Raw,INDEPENDENT
Diner Elk Grove,Elk Grove,Sacramento,CA,(916) 406-5493,,Restaurant,CA_SOS_Scraper_V3,INDEPENDENT
Diner Elk Grove Corp,Elk Grove,Sacramento,CA,(916) 341-6062,2258 Pico Blvd,Restaurant,CA_ABC_Raw,INDEPENDENT
Diner Elk Grove Heights 91,Elk Grove,Sacramento,CA,(916) 587-9022,8326 Oak Blvd,Restaurant,CA_ABC_Raw,INDEPENDENT
Diner Elk Grove Hills Group,Elk Grove,Sacramento,CA,(916) 443-9918,816 5th Ave,Restaurant,CA_ABC_Raw,INDEPENDENT
Diner Elk Grove Valley,Elk Grove,Sacramento,CA,(279) 207-3734,,Restaurant,CA_SOS_Scraper_V3,INDEPENDENT
Diner Elk Grove Valley Corp,Elk Grove,Sacramento,CA,(279) 718-8817,2260 Pico Pl,Restaurant,CA_ABC_Raw,INDEPENDENT
Discount Liquor,Elk Grove,Sacramento,CA,(916) 418-8084,6833 Front Pl,Restaurant,CA_ABC_Raw,INDEPENDENT
Discount Liquor 7,Elk Grove,Sacramento,CA,(279) 559-2531,3260 5th Rd,Restaurant,CA_ABC_Raw,INDEPENDENT
Discount Liquor Elk Grove LLC,Elk Grove,Sacramento,CA,(916) 865-4978,369 2nd St,Restaurant,CA_ABC_Raw,INDEPENDENT
Discount Liquor Group 61,Elk Grove,Sacramento,CA,(279) 246-4908,1559 Front Ln,Restaurant,CA_ABC_Raw,INDEPENDENT
Discount Liquor Sacramento Co,Elk Grove,Sacramento,CA,(279) 466-7850,6631 Franklin Way,Restaurant,CA_ABC_Raw,INDEPENDENT
Dive Bar Corp,Elk Grove,Sacramento,CA,(279) 959-2152,5983 Maple Rd,Restaurant,CA_ABC_Raw,INDEPENDENT
Dive Bar Elk Grove,Elk Grove,Sacramento,CA,(279) 776-6041,7440 5th Pl,Restaurant,CA_ABC_Raw,INDEPENDENT
Dive Bar Elk Grove Co,Elk Grove,Sacramento,CA,(916) 741-1320,8601 Wilshire Ln,Restaurant,CA_ABC_Raw,INDEPENDENT
Dive Bar Sacramento,Elk Grove,Sacramento,CA,(279) 533-6666,,Restaurant,CA_SOS_Scraper_V3,INDEPENDENT
Dive Bar Sacramento Co,Elk Grove,Sacramento,CA,(916) 215-8163,2023 Pico Way,Restaurant,CA_ABC_Raw,INDEPENDENT
Eatery,Elk Grove,Sacramento,CA,(916) 840-2253,,Restaurant,CA_SOS_Scraper_V3,INDEPENDENT
Eatery 96,Elk Grove,Sacramento,CA,(279) 951-6048,231 Oak Pl,Restaurant,CA_ABC_Raw,INDEPENDENT
Eatery Co,Elk Grove,Sacramento,CA,(279) 420-9085,1916 Front Ct,Restaurant,CA_ABC_Raw,INDEPENDENT
Eatery Elk Grove,Elk Grove,Sacramento,CA,(916) 789-7286,3855 Mission Blvd,Restaurant,CA_ABC_Raw,INDEPENDENT
Eatery Elk Grove Group,Elk Grove,Sacramento,CA,(916) 349-1811,4578 4th Rd #861,Restaurant,CA_ABC_Raw,INDEPENDENT
Eatery Elk Grove Hills,Elk Grove,Sacramento,CA,(279) 690-3445,7984 Sunset Blvd,Restaurant,CA_ABC_Raw,INDEPENDENT
Eatery Elk Grove Hills Inc,Elk Grove,Sacramento,CA,(916) 228-3465,9558 Jefferson Rd,Restaurant,CA_ABC_Raw,INDEPENDENT
Eatery Elk Grove Valley Group,Elk Grove,Sacramento,CA,(279) 596-7711,,Restaurant,CA_SOS_Scraper_V3,INDEPENDENT
Eatery Inc,Elk Grove,Sacramento,CA,(916) 814-1528,,Restaurant,CA_SOS_Scraper_V3,INDEPENDENT
Eatery Sacramento,Elk Grove,Sacramento,CA,(279) 601-3155,4025 Sunset Rd,Restaurant,CA_ABC_Raw,INDEPENDENT
Event Catering Elk Grove,Elk Grove,Sacramento,CA,(916) 771-3386,3946 Madison Ave,Restaurant,CA_ABC_Raw,INDEPENDENT
Event Catering Inc,Elk Grove,Sacramento,CA,(916) 236-4038,,Restaurant,CA_SOS_Scraper_V3,INDEPENDENT
Event Catering Sacramento,Elk Grove,Sacramento,CA,(279) 491-2151,600 Main Dr,Restaurant,CA_ABC_Raw,INDEPENDENT
Event Catering Sacramento Corp,Elk Grove,Sacramento,CA,(916) 931-7010,963 7th Rd,Restaurant,CA_ABC_Raw,INDEPENDENT
Events & Catering,Elk Grove,Sacramento,CA,(279) 778-2385,4768 3rd Rd,Restaurant,CA_ABC_Raw,INDEPENDENT
Events & Catering Sacramento 13,Elk Grove,Sacramento,CA,(916) 925-6566,9319 3rd St,Restaurant,CA_ABC_Raw,INDEPENDENT
Festival Services Elk Grove LLC,Elk Grove,Sacramento,CA,(279) 490-5166,5457 Broadway Ln,Restaurant,CA_ABC_Raw,INDEPENDENT
Festival Services Elk Grove Valley LLC,Elk Grove,Sacramento,CA,(279) 468-3671,9600 Lincoln Ln #413,Restaurant,CA_ABC_Raw,INDEPENDENT
Festival Services Sacramento,Elk Grove,Sacramento,CA,(916) 480-9085,8077 Main Dr,Restaurant,CA_ABC_Raw,INDEPENDENT
Fine Wines Company 30,Elk Grove,Sacramento,CA,(916) 443-1291,6915 Wilshire Rd #165,Restaurant,CA_ABC_Raw,INDEPENDENT
Fine Wines Elk Grove,Elk Grove,Sacramento,CA,(279) 823-3959,6692 3rd Pl,Restaurant,CA_ABC_Raw,INDEPENDENT
Fine Wines Elk Grove Hills,Elk Grove,Sacramento,CA,(916) 366-3396,7872 State Dr,Restaurant,CA_ABC_Raw,INDEPENDENT
Fine Wines Elk Grove Valley,Elk Grove,Sacramento,CA,(279) 960-4030,,Restaurant,CA_SOS_Scraper_V3,INDEPENDENT
Fine Wines Inc,Elk Grove,Sacramento,CA,(279) 407-4002,5425 Market Ln,Restaurant,CA_ABC_Raw,INDEPENDENT
Fine Wines Inc 94,Elk Grove,Sacramento,CA,(279) 978-6452,970 Ocean Rd #118,Restaurant,CA_ABC_Raw,INDEPENDENT
Grill,Elk Grove,Sacramento,CA,(916) 522-7674,6178 Ocean Ave,Restaurant,CA_ABC_Raw,INDEPENDENT
Grill Co,Elk Grove,Sacramento,CA,(916) 668-6993,2447 3rd Way,Restaurant,CA_ABC_Raw,INDEPENDENT
Grill Co 50,Elk Grove,Sacramento,CA,(279) 218-5570,9103 5th Way,Restaurant,CA_ABC_Raw,INDEPENDENT
Grill Company,Elk Grove,Sacramento,CA,(916) 715-6696,4128 Oak Dr #995,Restaurant,CA_ABC_Raw,INDEPENDENT
Grill Elk Grove,Elk Grove,Sacramento,CA,(279) 277-9303,235 Washington Ln,Restaurant,CA_ABC_Raw,INDEPENDENT
Grill Elk Grove Co,Elk Grove,Sacramento,CA,(279) 484-3586,9563 Main Blvd,Restaurant,CA_ABC_Raw,INDEPENDENT
Grill Elk Grove Corp,Elk Grove,Sacramento,CA,(916) 764-3840,113 Mission Ave,Restaurant,CA_ABC_Raw,INDEPENDENT
Grill Elk Grove Hills Co 64,Elk Grove,Sacramento,CA,(279) 642-3897,,Restaurant,CA_SOS_Scraper_V3,INDEPENDENT
Grill Elk Grove Valley,Elk Grove,Sacramento,CA,(916) 305-2690,8076 Front Blvd,Restaurant,CA_ABC_Raw,INDEPENDENT
Grill LLC,Elk Grove,Sacramento,CA,(279) 333-9034,8728 1st Rd #867,Restaurant,CA_ABC_Raw,INDEPENDENT
Grill Sacramento,Elk Grove,Sacramento,CA,(916) 843-6561,,Restaurant,CA_SOS_Scraper_V3,INDEPENDENT
Grill Sacramento Company,Elk Grove,Sacramento,CA,(916) 280-5291,6285 Broadway Ct,Restaurant,CA_ABC_Raw,INDEPENDENT
Grill Sacramento Corp,Elk Grove,Sacramento,CA,(916) 486-7315,9939 Maple Ln,Restaurant,CA_ABC_Raw,INDEPENDENT
Grocery,Elk Grove,Sacramento,CA,(916) 504-9988,2328 Franklin Pl,Restaurant,CA_ABC_Raw,INDEPENDENT
Grocery Corp,Elk Grove,Sacramento,CA,(279) 689-4882,,Restaurant,CA_SOS_Scraper_V3,INDEPENDENT
Grocery Elk Grove,Elk Grove,Sacramento,CA,(916) 650-7957,8687 Market Blvd #466,Restaurant,CA_ABC_Raw,INDEPENDENT
Grocery Elk Grove Group,Elk Grove,Sacramento,CA,(916) 527-2783,7146 Ocean Ct,Restaurant,CA_ABC_Raw,INDEPENDENT
Grocery Elk Grove Valley,Elk Grove,Sacramento,CA,(916) 284-1323,4164 5th Way,Restaurant,CA_ABC_Raw,INDEPENDENT
Grocery Elk Grove Valley Inc 80,Elk Grove,Sacramento,CA,(916) 608-9066,7568 5th Rd,Restaurant,CA_ABC_Raw,INDEPENDENT
House,Elk Grove,Sacramento,CA,(916) 430-2109,6880 4th Way,Restaurant,CA_ABC_Raw,INDEPENDENT
House Elk Grove,Elk Grove,Sacramento,CA,(279) 935-4459,9457 3rd Ln,Restaurant,CA_ABC_Raw,INDEPENDENT
House Elk Grove Hills 67,Elk Grove,Sacramento,CA,(279) 358-5106,7072 Front Dr,Restaurant,CA_ABC_Raw,INDEPENDENT
House Elk Grove Valley Group,Elk Grove,Sacramento,CA,(916) 365-2420,1099 Franklin Ln,Restaurant,CA_ABC_Raw,INDEPENDENT
House LLC 71,Elk Grove,Sacramento,CA,(279) 755-9288,3463 Lincoln Ct #911,Restaurant,CA_ABC_Raw,INDEPENDENT
House Sacramento 65,Elk Grove,Sacramento,CA,(279) 333-7309,5626 Lincoln St,Restaurant,CA_ABC_Raw,INDEPENDENT
House Sacramento Corp,Elk Grove,Sacramento,CA,(916) 263-4788,,Restaurant,CA_SOS_Scraper_V3,INDEPENDENT
Kitchen,Elk Grove,Sacramento,CA,(279) 207-2922,7112 4th Ct,Restaurant,CA_ABC_Raw,INDEPENDENT
Kitchen 80,Elk Grove,Sacramento,CA,(279) 539-7112,267 Madison St #442,Restaurant,CA_ABC_Raw,INDEPENDENT
Kitchen 98,Elk Grove,Sacramento,CA,(279) 380-5373,,Restaurant,CA_SOS_Scraper_V3,INDEPENDENT
Kitchen Co,Elk Grove,Sacramento,CA,(279) 518-9682,6249 7th Way,Restaurant,CA_ABC_Raw,INDEPENDENT
Kitchen Company,Elk Grove,Sacramento,CA,(916) 775-3087,4736 3rd Pl,Restaurant,CA_ABC_Raw,INDEPENDENT
Kitchen Elk Grove,Elk Grove,Sacramento,CA,(279) 486-2419,,Restaurant,CA_SOS_Scraper_V3,INDEPENDENT
Kitchen Elk Grove 98,Elk Grove,Sacramento,CA,(279) 296-4013,2306 Franklin Pl,Restaurant,CA_ABC_Raw,INDEPENDENT
Kitchen Elk Grove Company,Elk Grove,Sacramento,CA,(279) 217-1926,,Restaurant,CA_SOS_Scraper_V3,INDEPENDENT
Kitchen Elk Grove Group,Elk Grove,Sacramento,CA,(916) 277-6829,3480 Jefferson Ln,Restaurant,CA_ABC_Raw,INDEPENDENT
Kitchen Elk Grove Hills LLC,Elk Grove,Sacramento,CA,(279) 774-9864,7082 Lincoln Ln,Restaurant,CA_ABC_Raw,INDEPENDENT
Kitchen Elk Grove Inc,Elk Grove,Sacramento,CA,(916) 496-6010,9197 Mission Ln,Restaurant,CA_ABC_Raw,INDEPENDENT
Kitchen Elk Grove LLC,Elk Grove,Sacramento,CA,(916) 585-8425,7165 7th Ct,Restaurant,CA_ABC_Raw,INDEPENDENT
Kitchen Group,Elk Grove,Sacramento,CA,(916) 675-3715,6777 1st Pl,Restaurant,CA_ABC_Raw,INDEPENDENT
Kitchen Inc,Elk Grove,Sacramento,CA,(279) 286-5700,9456 6th Ln,Restaurant,CA_ABC_Raw,INDEPENDENT
Kitchen Sacramento,Elk Grove,Sacramento,CA,(916) 424-6479,685 Oak Rd,Restaurant,CA_ABC_Raw,INDEPENDENT
Kitchen Sacramento Co,Elk Grove,Sacramento,CA,(279) 487-2593,6314 Main St,Restaurant,CA_ABC_Raw,INDEPENDENT
Liquor Store,Elk Grove,Sacramento,CA,(916) 657-1969,4264 Maple Blvd,Restaurant,CA_ABC_Raw,INDEPENDENT
Liquor Store Company,Elk Grove,Sacramento,CA,(279) 297-8241,2807 Oak Way #533,Restaurant,CA_ABC_Raw,INDEPENDENT
Liquor Store Elk Grove,Elk Grove,Sacramento,CA,(279) 460-4768,3404 Ocean Way,Restaurant,CA_ABC_Raw,INDEPENDENT
Liquor Store Elk Grove 93,Elk Grove,Sacramento,CA,(916) 867-4522,4202 Ocean Dr #368,Restaurant,CA_ABC_Raw,INDEPENDENT
Liquor Store Elk Grove Co 73,Elk Grove,Sacramento,CA,(916) 336-3748,7515 Lincoln Way,Restaurant,CA_ABC_Raw,INDEPENDENT
Liquor Store Elk Grove Valley,Elk Grove,Sacramento,CA,(279) 969-9519,2317 Pico Blvd,Restaurant,CA_ABC_Raw,INDEPENDENT
Liquor Store Sacramento,Elk Grove,Sacramento,CA,(916) 906-5831,757 Main Way,Restaurant,CA_ABC_Raw,INDEPENDENT
Liquor Store Sacramento Co,Elk Grove,Sacramento,CA,(279) 787-7349,7017 Hollywood Rd #673,Restaurant,CA_ABC_Raw,INDEPENDENT
Liquor Store Sacramento Corp 41,Elk Grove,Sacramento,CA,(279) 512-4002,5543 2nd Ave,Restaurant,CA_ABC_Raw,INDEPENDENT
Liquor Store Sacramento Group,Elk Grove,Sacramento,CA,(279) 576-6092,1716 4th Ct #524,Restaurant,CA_ABC_Raw,INDEPENDENT
Liquor Store Sacramento Inc,Elk Grove,Sacramento,CA,(916) 844-9014,3389 Main Blvd,Restaurant,CA_ABC_Raw,INDEPENDENT
Lounge,Elk Grove,Sacramento,CA,(916) 808-5099,,Restaurant,CA_SOS_Scraper_V3,INDEPENDENT
Lounge 82,Elk Grove,Sacramento,CA,(279) 259-4778,1836 Pico Dr,Restaurant,CA_ABC_Raw,INDEPENDENT
Lounge Company,Elk Grove,Sacramento,CA,(916) 924-8442,3720 Ocean Way #407,Restaurant,CA_ABC_Raw,INDEPENDENT
Lounge Elk Grove,Elk Grove,Sacramento,CA,(279) 981-3965,9194 Front Ct,Restaurant,CA_ABC_Raw,INDEPENDENT
Lounge Elk Grove Corp,Elk Grove,Sacramento,CA,(916) 477-9011,1868 Jefferson Rd,Restaurant,CA_ABC_Raw,INDEPENDENT
Lounge Elk Grove Heights Company,Elk Grove,Sacramento,CA,(916) 444-7921,8961 3rd Rd,Restaurant,CA_ABC_Raw,INDEPENDENT
Lounge Group,Elk Grove,Sacramento,CA,(279) 334-7463,8684 Oak Blvd,Restaurant,CA_ABC_Raw,INDEPENDENT
